,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
33919,Effortless,2020-01-01,https://www.effortlessads.com,"Middletown, Maryland, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Digital Marketing, Marketing",339345.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,30914,False,False
33928,Warmintro,2018-11-21,https://www.warmintro.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Messaging and Telecommunications, Science and Engineering, Software","Artificial Intelligence (AI), Communities, Incubators, Lifestyle, Meeting Software, Private Social Networking, Social Media",339530.0,"We give private, invite-only communities a unique space where they can host content, introductions, payments, discussions, events, and more – all in one place under their brand.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,5,2018,30923,False,False
33954,Telepath.io,2020-07-01,https://telepath.io,"Los Angeles, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Developer APIs, Developer Platform, Developer Tools, Machine Learning, PaaS",339982.0,"Telepath is the world's most developer-friendly machine learning platform. Build custom models and deploy real-time prediction APIs in minutes, no AI/ML experience necessary.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2020,30945,False,False
34013,LunarTech,2022-10-28,https://lunartech.ai,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Data Integration, EdTech, Software",341051.0,"We, Tatev Aslanyan and Vahe Aslanyan, co-founded LunarTech with a vision to weave AI and ML into education and business. Our mission is centered around innovation and transformative change using state-of-the-art technology. What We Offer: LunarTech Enterprises: At LunarTech Enterprises, we assist schools and universities in modernizing education through AI, Machine Learning, and Data Science. Our aim is to personalize learning experiences, making education more adaptive and engaging for every student. LunarTech Technologies: LunarTech Technologies offers businesses Data and AI-driven solutions to enhance their operational processes and decision-making. Our range of services includes advanced data analytics and bespoke AI development, tailored for varied industry requirements. LunarTech Education: Through LunarTech Education, we provide courses and bootcamps that bridge the gap between industry and academia. Our offerings are designed to equip learners with practical skills and knowledge, aligning education with real-world industry demands. Our Vision and Impact: Our vision at LunarTech is a future where AI and ML fundamentally enhance education and business. We are dedicated to leading this tech evolution, focusing on long-term, efficient solutions in both sectors. Our Commitment to Investors: Sustainable Growth: We are strategically positioned for sustainable growth, aiming to broaden LunarTech's impact in a technologically advanced future. Innovation and Excellence: Continuous R&D is at the heart of LunarTech, keeping us at the forefront of AI and ML applications and delivering cutting-edge solutions. Global Expansion: Our goal is to extend our innovative solutions globally, impacting educational institutions, businesses, and learners all around the world.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,30995,False,False
34017,Altway Insurance,2019-01-01,https://www.altway.com/,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, Insurance, InsurTech",341138.0,Altway Insurance is a AI-driven direct-to-consumer insurance brokerage platform.,251-500,0.0,M&A,,0.0,,0.0,1.0,251-500,Private,,,,,,5,5,2019,30999,False,False
34032,QTIS AI,2021-09-01,https://www.qtis.ai/,"Cupertino, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Health Care, Machine Learning",341416.0,"QTIS AI provides advanced deep-tech Generative AI models and datasets that help global enterprises differentiate, innovate, and reduce risk. Working with Generative Adversarial Networks since 2016, we initiated research and development that led to the establishment of the first AI model capable of identifying and diagnosing dermatology-based medical conditions. From the beginning, we reinvested and expanded extensive AI platforms to automate costly research and development workflows within AI teams. These investments enabled us to build the world's largest foundation Human-Face model, based on tested empirical metadata. Our pioneering attitude empowers us to overcome technical challenges and issues without hesitation..",11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,2,2021,31013,False,False
34034,AlphaROC,2021-01-01,https://www.alpharoc.ai,"Newark, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",341431.0,"AlphaROC is a software company that focuses on providing analytics on a wide variety of unique data. The company's main product, the occam AI engine, measures purchase intent prior to these preferences showing up in transaction data. AlphaROC is dedicated to providing investment entities access to alternative data across their investment process. The company's mission is to revolutionize the market research industry by bringing the latest Machine Learning, Data Science, and computational AI techniques.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,31014,False,False
34051,Hospital on Mobile,2020-01-01,https://hospitalonmobile.com/,"Menlo Park, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Information Technology, Mobile, Software",341698.0,"Hospital on Mobile is a personalized mobile health company that develops camera and voice-based vital signs monitoring solutions for disease prediction and remote patient monitoring. Using a smartphone camera or webcam, users can measure their heart rate, heart rate variability, respiratory rate, and oxygen saturation level via contact (by putting their fingertip on the camera) or contactless (selfie video) measurement options. Additionally, Hospital on Mobile can analyze users' volunteer coughs for whether an infectious disease is developed or not. All measurements and results are displayed in seconds.",11-50,2.0,Seed,2021-08-04,0.0,Seed,0.0,3.0,11-50,Private,,,,,,2,4,2020,31027,False,False
34079,Collagia,2019-09-20,http://www.collagia.com,"Fairfield, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Analytics, Machine Learning, SaaS, Software",342004.0,Enterprise SaaS enabling an entirely new domain of business intelligence by bringing image and industry data together and making ML accessible to anyone.,1-10,1.0,Seed,2022-01-01,0.0,Seed,0.0,,1-10,Private,,,,,,2,4,2019,31053,False,False
34088,MyVitaAI,2020-01-01,https://myvita.ai,"La Jolla, California, United States","Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Dietary Supplements, Machine Learning, Nutrition",342110.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,2.0,0.0,,6,4,2020,31062,False,False
34100,Bezant Technologies,2020-01-01,https://www.bezanttech.com/,"New York, New York, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Payments, Software","Cryptocurrency, Information Technology, Machine Learning",342267.0,"Bezant Technologies focuses on cryptocurrencies and uses machine learning. It helps to machine learning principles and deliver high, consistent risk-adjusted returns while creating a remarkable company that attracts, motivates, and keeps top talent.",1-10,2.0,Seed,2023-12-04,0.0,Seed,0.0,,1-10,Private,,,,,,2,4,2020,31073,False,False
34178,Luna App,2019-01-01,https://www.luna-app.com,"El Cerrito, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Finance, FinTech, Mobile Apps",343617.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,31145,False,False
34200,prescienceAI,2020-01-01,https://prescienceai.com/,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, SaaS",343870.0,,1-10,1.0,Seed,2022-04-25,0.0,Seed,0.0,1.0,1-10,Private,,,,,,2,4,2020,31164,False,False
34207,Celly.AI,2019-01-01,https://celly.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Medical Device",343980.0,"Celly.AI is a smart and cost-effective solution for AI-driven microscopy automation. It allows labs to replace expensive specialists with low-qualified technicians. The technician just mounts the iPhone to the eyepiece of a microscope, and the app does the rest -  it analyzes the slides using neural networks, generates convenient reports, and stores scanned slides in the cloud.",1-10,2.0,Seed,2021-01-01,0.0,Seed,0.0,2.0,1-10,Private,,,,,,2,5,2019,31169,False,False
34217,rainsphere.ai,2021-01-01,https://rainsphere.ai,"Redwood City, California, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Data Visualization, Security",344182.0,"Rainsphere.ai secure, understand, and visualize Your Data and transform your organization's data story to be AI-ready.  It was founded in 2021 and is located in Redwood City, California.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,2.0,,6,3,2021,31179,False,False
34242,Melodia,2019-01-01,https://melodia.io,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Internet, Machine Learning, Music, Music Streaming",344493.0,"Melodia is a music search platform for content creators. We help creators like YouTubers, TikTokers, Instagram and Facebook users find the right music for their productions.  At Melodia, we're revolutionizing music discovery and creation. Our vision is to provide content creators with superior music while empowering artists in the era of AI music generation.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,1.0,0.0,,6,5,2019,31196,False,False
34265,Elemental TV,2020-01-01,https://www.elementaltv.com/,"Pasadena, California, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Professional Services, Sales and Marketing, Science and Engineering, Software, Video","Advertising, Artificial Intelligence (AI), Consulting, TV",344866.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,31218,False,False
34266,BlocBelt,2021-10-01,https://blocbelt.com/,"Gaithersburg, Maryland, United States","Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Computer Vision, Data Management, Data Visualization, Generative AI, Machine Learning, Natural Language Processing, Predictive Analytics, Robotic Process Automation (RPA)",344880.0,"BlocBelt is an IT company focused on providing customized and out-of-box solutions that include cutting-edge technologies like Artificial Intelligence, Data Analytics, and Robotic Process Automation (RPA). From solving complex business problems to completing digital transformation, we have been successfully utilizing our Triple-A strategy (Ai-Analytics-Automation) empowering our clients to harness the power of their business data, making it useful for their operational efficiency and driving superior outcomes, all through a tailor-made solution for them. We believe in work-hard and play-hard philosophy and consider our employees as our greatest asset.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2021,31219,False,False
34282,Senfino,2020-12-01,https://www.senfino.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), FinTech, Information Technology, Machine Learning, Software",345083.0,"Senfino upgrades the way investment decisions are made on the buy-side. We engineered a human-in-the-loop, enterprise-grade “Glassbox” AI that fingerprints and enforces bespoke investment strategies, increases alpha via idea generation, and surges productivity by optimizing the investment process.",1-10,0.0,,,0.0,,0.0,4.0,1-10,Private,,,,,,6,3,2020,31234,False,False
34310,SkyGeni,2019-01-01,http://www.skygeni.com,"San Jose, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Machine Learning, Sales Automation, Software",345566.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,31259,False,False
34324,Cortado,2021-10-21,https://livecortado.com/,"Washington, District of Columbia, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Real Estate, Software",345870.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,31272,False,False
34328,Rising Orchards,2022-01-01,https://risingorchards.com,"Daytona Beach, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Robotics, Software",345943.0,Cloud-connected animatronics and attraction control systems.,1-10,2.0,Seed,2023-05-01,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,2,2022,31275,False,False
34357,WARPSPD,2019-01-01,https://www.warpspd.ai/,"Pleasanton, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",346428.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,31300,False,False
34362,Gary AI,2021-01-01,https://www.garyai.com,"San Francisco, California, United States","Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), Copywriting, Marketing, Social Media",346478.0,"Gary AI offers to create original content that ranks for SEO, finish the first draft 5-10x faster, boost ad conversions with better copy, end writer's block with new ideas, enjoy an endless supply of new ideas, crank out more amazing content, and faster. The customer was contacted through email and phone number.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,31305,False,False
34366,Wilde,2022-07-01,https://www.wilde.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Software","Machine Learning, Predictive Analytics, Software",346525.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,31309,False,False
34414,ChainFuse,2022-10-20,https://www.chainfuse.com,"San Francisco, California, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Cryptocurrency, SaaS, Software",347297.0,"ChainFuse is a no-code AI builder focused on building systems for enterprise companies to communicate, engage, and learn about their customers. Using real data to drive business growth.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,1,2022,31351,False,False
34505,Layla Electric,2022-01-01,https://laylaelectric.com/,"Santa Monica, California, United States","Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability","Artificial Intelligence (AI), Energy, Energy Efficiency",348904.0,"Layla Electric develops an AI-driven SaaS platform automating the energy use of real estate businesses. It empowers real estate people to build more profitable, sustainable, and conscious businesses.",1-10,1.0,Seed,2023-01-01,0.0,Pre-Seed,0.0,,1-10,Private,,,,,,2,2,2022,31432,False,False
34534,vCloud.ai,2019-11-04,https://vcloud.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Security, Machine Learning, SaaS, Security, Software",349464.0,"VSaaS. Video surveillance and AI video analytics worldwide cloud service. Subscription-based. Hosted, hybrid and private cloud deployment options. True cross-platform: x86/ARM, CPU/GPU/TPU, Linux/Windows/MacOS/Web/iOS/Android, Docker. Compatible with all cameras: Cam-to-Cloud, bridge, ONVIF/RTSP. AI analytics available: Face recognition with lists and attendance reports, Smart LPR (plate number/model/make/colour/direction), Smoke/fire/smoking, Traffic (person/vehicle), Heatmaps, Queues, Crowd, Object detection (human/vehicle/animal/bag). Metadata search. Automation and no-code API. Access control integration.",11-50,0.0,,,0.0,,0.0,4.0,11-50,Private,,,,,,6,4,2019,31458,False,False
34569,GEOVEA,2019-09-01,https://geovea.com/,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Navigation and Mapping, Other, Science and Engineering, Software, Travel and Tourism","Artificial Intelligence (AI), Business Travel, Consumer, Geospatial, Internet, Navigation, SaaS, Tourism, Travel",350081.0,"Geovea is a SaaS and AI-based web solution focused on simplifying travel discovery, planning, and booking processes for personal and business travelers, particularly those seeking local and unique experiences in North America. Geovea organizes travel in one place in the cloud, making it instantly searchable and available wherever the user goes. At the core, Geovea utilizes enhanced user map and route planning tools, allowing users to easily create simple or complex multi-destination trips. The platform also integrates industry-leading itinerary creation and calendar scheduling features to simplify any traveler’s trip experience.  One of its special offerings of Geovea is its Travel Chat AI. This AI-powered platform is revolutionizing the world of personalized travel planning by providing users with a fast and unparalleled experience in discovering and organizing their trips. Geovea Travel Chat AI allows users to easily tailor their search criteria at a city, state, or country level. It delivers personalized travel options in just 20 seconds, saving users time and effort and allowing them to discover hidden gems and off-the-beaten-path experiences. In summary, Geovea, through its mapping, itinerary, scheduling, and Travel Chat AI, is bringing a monumental shift in travel planning by enabling users to take complete control of their journey from start to finish. It allows for the exploration of exciting new destinations at unprecedented speeds, making the world of personalized travel more accessible and enjoyable. The bootstrapped startup company is based in Denver, Colorado, United States, and is now seeking its first round of seed funding to refine its platform and further leverage Geovea Travel Chat AI to provide the best user travel experience in the industry.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,31489,False,False
34609,ApiX Drive,2019-01-01,https://apix-drive.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Marketing Automation, SaaS, Software",350699.0,"The ApiX-Drive service allows users to create integrations between different types of services. Among them are CRM, mailing and SMS services, quiz makers, social networks, CMS systems, marketplaces, project managers, payment systems, instant messengers, chatbots, and other products. To use the connector, there is no need for technical knowledge and skills, you do not have to write any code. In order to integrate two services, it is enough to link their accounts on the ApiX-Drive website and select the parameters for automatic data transfer. Integration setup is carried out in a simple interface with a lot of prompts – on average, this process takes up to 5 minutes. To better understand how the service works, new users are provided with free trial access for 14 days.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,31519,False,False
34640,Alpha Trend,2021-01-01,https://alphatrend.ai,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Financial Services, Information Technology",351143.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,31542,False,False
34687,RIF Robotics Corp,2020-10-07,https://www.rifrobotics.com/,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Health Care, Machine Learning, Robotics, Software",352106.0,"At RIF, we use AI and robotics to relieve healthcare workers of the burden of utility tasks so they can focus on clinical work.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,3,2020,31578,False,False
34695,Capital Pipeline,2019-01-01,https://www.capitalpipeline.tech,"Scottsdale, Arizona, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Financial Services",352200.0,"Capital Pipeline operates in the financial services industry, offering a technology-driven data service. The company's technology includes AI tools that help clean and find data. It integrates, scans, reads, and stores .pdf files and other hard data. The primary focus of Capital Pipeline is to help clients find, target, and win more public design and construction projects. The company's services are particularly beneficial for those seeking information on available public construction projects in Arizona.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,2.0,,6,5,2019,31586,False,False
34744,Pensieve AI,2020-11-01,http://Pensieve.cloud,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Design, Education, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Education, Information Technology, Internet, Software, UX Design",353150.0,Democratizing User Research for product driven teams through AI and ML,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2020,31628,False,False
34781,FlowFinitee,2018-05-06,https://flowfinitee.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Software","Natural Language Processing, Software",353604.0,"FlowFinitee is a developer-focused unified workspace providing a prioritized feed of conversations across their work apps, and insights on their time expenditures while advocating for the happier life they deserve.",1-10,2.0,Seed,2020-09-17,0.0,Seed,0.0,1.0,1-10,Private,,,,,,2,5,2018,31661,False,False
34800,Soter AI,2020-01-01,https://www.soterai.com,"Orange, California, United States","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Drones, Information Technology, Machine Learning, Robotics",353844.0,"Soter AI is an IT firm that specializes in anomaly detection and autonomous robotic operation surveillance. The company was founded in 2020 and is based in Orange County, California.",1-10,1.0,Seed,2022-10-14,0.0,Seed,0.0,,1-10,Private,,,,,,2,4,2020,31678,False,False
34809,Intellegi,2021-04-07,https://intellegi.io,"Arlington, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Corporate Training, Cyber Security, EdTech, Education, Health Care, Information Technology, Medical, Privacy, Productivity Tools",353976.0,"Intellegi is a first-of-its-kind digital health startup that's changing the way we handle chronic conditions, with a primary focus on diabetes, heart disease, and metabolic syndrome. We utilize a blend of awareness and self-management training, personalized nutrition recommendations, and advanced AI technology to detect and predict medication interactions.  Intellegi pronounced (/in tel-ləh-jee/) is a Latin word that means easy to understand.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,31686,False,False
34853,Provalytics,2022-01-01,https://provalytics.com,"Stratham, New Hampshire, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software","Advertising, Predictive Analytics, Test and Measurement",354761.0,"Provalytics is Attribution & Planning Evolved For A Cookieless World.  Provalytics unifies all media including walled gardens, CTV, TV, OOH, radio, direct mail, and print providing deduplicated, privacy-compliant reporting which includes synergies, carryover, ad stock, consumer sentiment, and separates incrementality from the baseline.  Make smarter marketing decisions, faster.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,31727,False,False
35035,WhiteRock AI,2021-01-01,https://www.whiterock.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Software","Predictive Analytics, Real Estate, Software",357808.0,WhiteRock is revolutionizing residential risk management by deploying a cutting-edge AI that underwrites and stress-tests tenants.,1-10,2.0,Seed,2021-07-23,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,0.0,5.0,,2,3,2021,31871,False,False
35051,Cognity Labs,2019-05-01,https://www.cognitylabs.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Incubators",358035.0,"Cognity Labs is a virtual startup pre-seed incubator catering to AI and Data-enabled startups focusing on consumer/retail, enterprise, and fintech. Cognity Labs' team is composed of professionals from Manila and Silicon Valley with 50+ years of combined experience in digital transformation, productization, design, and artificial intelligence.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2019,31884,False,False
35053,Stress Monitor for Apple Watch,2020-01-16,https://apps.apple.com/app/id1510429086,"Cupertino, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, mHealth, Mobile Apps, Personal Health, Wellness",358051.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,31886,False,False
35083,HUMAN,2021-02-01,https://norobocars.com/,"Los Angeles, California, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Mobile Apps, Ride Sharing, Software, Transportation",358545.0,"The HUMAN App Platform was founded on the belief that robocars are taking over jobs, places, humans, everyone and everything. Our team is passionate about empowering humans through accessible technology to take control. We believe that the will of humans and communities has enormous power to shape our world into a place without robocars. Ride with humans, not robots!",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,31912,False,False
35116,Routine,2019-01-01,https://routineai.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",359300.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,31941,False,False
35135,Moii AI,2022-01-01,https://moiiai.com,"Troy, Michigan, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",359698.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,1.0,,6,2,2022,31959,False,False
35148,ΛDΛPTRΛCK,2019-01-01,https://www.adaptrack.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Personalization",359905.0,Adaptrack Platform an AMS Management Group Company | Practice blindspots. Personalized Risk Management. Point-of-care Credits & More.,1-10,0.0,M&A,,0.0,,0.0,2.0,1-10,Private,,,,,,5,5,2019,31969,False,False
35153,Kure,2021-05-01,https://KureKo.com,"Dover, Delaware, United States","Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Other, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Government, Information Technology, Project Management, SaaS, Software, Virtual Workforce",359983.0,"Kure gives everyone the power to improve processes like a highly experienced continuous improvement expert. Our Process Optimization Path™ (Patent Pending) uses AI to guide users step-by-step through a streamlined path to complete process improvement projects faster with better, visualized results. We’re a diverse team of optimization, technology and education experts sharing 40+ years of success using dozens of proven process improvement methodologies.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,31974,False,False
35162,TrueFocus Automation,2018-11-30,https://www.truefocusautomation.com,"Plano, Texas, United States","Artificial Intelligence (AI), Financial Services, Information Technology, Professional Services, Software","Consulting, Information Technology, Insurance, Outsourcing, Robotic Process Automation (RPA), Software",360101.0,"TrueFocus Automation, a robotic process automation (RPA) services firm founded in 2018 and based in Plano, Texas, helps customers transition away from labor-intensive, error-prone processes to automated ones which are more efficient, accurate, and scalable at a lower cost. Our team designs, builds, implements, and manages software ""robots"" (digital workers) to maximize results. Contact us to learn how to transition your workflows from manual, repetitive, and error-prone processes to automation. info@truefocusautomation.com",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,1.0,,6,5,2018,31983,False,False
35182,Ploutos,2021-01-01,https://ploutos.dev,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),360504.0,,1-10,1.0,Seed,2022-11-22,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,3,2021,32001,False,False
35190,Rupt,2021-03-01,https://rupt.ai/,"Austin, Texas, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Analytics, Apps, Artificial Intelligence (AI), Finance, Financial Services, FinTech",360660.0,"Rupt helps casual investors make smarter stock picks without having to spend hours researching the market daily. Rupt's algorithms analyze hundreds of data points and arrive at a single consensus score for each stock. It's like having an expert by your side all day, working 24/7, who doesn't get distracted by all the noise in the news cycle or fall prey to FOMO.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,32007,False,False
35217,PREDIK Data-Driven,2021-01-02,https://predikdata.com/,"Coral Gables, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology, Machine Learning, Market Research, Predictive Analytics, Professional Services",361066.0,"PREDIK Data-Driven is a research firm with more than 13 years of experience developing data science-based solutions for companies in the US, Latin America and other regions of the world.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,32029,False,False
