,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
461,Acquire.com,2020-01-19,https://acquire.com,"San Mateo, California, United States","Business Intelligence, FinTech, Marketing, Marketplace, Social Entrepreneurship",11-50,"4,255","Acquire.com (formerly MicroAcquire) is the world's largest startup acquisition marketplace that helps startups and online businesses find buyers and get acquired. Their goal is to help all entrepreneurs get acquired without fees and commissions or headaches. Acquire.com (formerly MicroAcquire) was established in 2020 and is based in San Francisco, CA.","Commerce and Shopping, Community and Lifestyle, Data and Analytics, Financial Services, Sales and Marketing, Social Impact",2.0,,2022-01-03,5000000.0,Venture - Series Unknown,11300000.0,Private,,,,,,4,515,False
462,Scratchpad,2019-01-01,https://scratchpad.com,"San Francisco, California, United States","CRM, Information Technology, Productivity Tools, SaaS, Sales, Sales Automation, Software",51-100,"4,257","Scratchpad is a workspace built for sales to update Salesforce and take sales notes and daily todos. The software can be installed as a Google Chrome plugin or as a web application. It connects to Salesforce and provides an interface where sales professionals can keep all their notes, process workflows, spreadsheets, and tasks. Scratchpad is backed by Accel, Craft Ventures, Sound Ventures, and Shrug Capital. Co-founders Pouyan Salehi and Cyrus Karbassiyoon started the company in San Francisco, California in 2019.","Information Technology, Sales and Marketing, Software",3.0,Early Stage Venture,2022-01-25,33000000.0,Series B,49600000.0,Private,,,,,,5,516,False
465,Crediverso,2021-04-01,https://www.crediverso.com,"Los Angeles, California, United States","Finance, Financial Services, FinTech, Marketplace, Mobile Apps",1-10,"4,260","Crediverso is a financial marketplace where people can find credit cards, credit checks, and international money transfers. The platform of the company provides access to financial information and financial products such as credit information, credit cards, loans, money transfer feature, credit scores, and more, thereby enabling the US Latino audience by bridging the cultural gap.","Apps, Commerce and Shopping, Financial Services, Mobile, Software",2.0,Seed,2023-09-26,3500000.0,Seed,6600000.0,Private,,,,,,3,517,False
466,Kikoff,2019-11-11,https://kikoff.com/,"San Francisco, California, United States","Credit, Finance, Financial Services, FinTech, Personal Finance",11-50,"4,261","Kikoff is a personal finance platform with a mission to turn credit builders into great borrowers. Its web and mobile app lets customers build credit, save, and check their credit scores and reports with speed, convenience, and affordability in mind.","Financial Services, Lending and Investments",3.0,Early Stage Venture,2021-06-10,30000000.0,Series B,42500000.0,Private,,,,,,4,518,False
477,Andes,2018-07-03,https://www.andes.bio,"Alameda, California, United States","Agriculture, AgTech, Biotechnology, GreenTech, Sustainability",11-50,"4,280","Andes develops an integrated microbial technology to help accelerate crop growth. Its technology is combined with artificial intelligence to develop its seeds while reducing input costs and environmental footprints and helps farmers to boost their agricultural output and income. Andes was founded in 2018 and is headquartered in Alameda, California.","Agriculture and Farming, Biotechnology, Science and Engineering, Sustainability",7.0,Early Stage Venture,2023-03-16,15000000.0,Series A,56050000.0,Private,,,2.0,0.0,Fertilisers,5,519,False
478,Kubecost,2019-01-01,https://kubecost.com/,"San Francisco, California, United States","Developer APIs, Information Technology, IT Infrastructure, Software",11-50,"4,281","Kubecost is a developer of a cost monitoring platform to help companies manage their Kubernetes resources and costs. Its platform also provides direct integrations with the Kubernetes API and cloud billing APIs, cost allocations for all key Kubernetes concepts, dynamic recommendations for optimizing cloud spend, and infrastructure assessment services helping clients to reduce spending and prevent resource-based outages.","Information Technology, Software",2.0,Early Stage Venture,2022-02-18,25000000.0,Series A,30500000.0,Private,,,0.0,0.0,,5,520,False
487,Boomy,2018-10-25,https://boomy.com,"Berkeley, California, United States","Artificial Intelligence, Music, Music Label, Music Streaming, Musical Instruments",11-50,"4,294","Boomy is a generative music company building AI-powered tools that creators use to make original songs, even if they don't have traditional music-making knowledge. Users can also create releases and distribute them to all major streaming services and digital music retailers worldwide, and earn a share of royalties when the songs are played on networks like Spotify, TikTok, and YouTube.","Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software",4.0,Seed,2022-06-30,3100000.0,Seed,4451016.0,Private,,,0.0,1.0,,5,521,False
491,Erthos,2019-01-01,https://www.erthos.com/,"Tempe, Arizona, United States","Energy Efficiency, Renewable Energy, Service Industry, Solar",11-50,"4,305","Erthos is a solar power deployment platform that is fundamentally transforming the utility-scale solar industry. By building its novel technologies on a foundation of proven PV module and inverter products, it minimizes adoption risk and provides immediate bankability.","Energy, Natural Resources, Other, Sustainability",4.0,Late Stage Venture,2023-09-11,24000000.0,Series C,50847500.0,Private,,,3.0,3.0,Generation; Conversion Or Distribution Of Electric Power,5,522,False
493,Zeni,2019-01-01,https://www.zeni.ai/,"Palo Alto, California, United States","Accounting, Artificial Intelligence, Finance, Financial Services, FinTech",51-100,"4,307","Zeni is an AI-powered finance concierge for startups, powering high velocity decision making with real-time insights and a full-service bookkeeping, accounting, tax, and CFO services. The company was founded in 2019 by twin brothers Snehal Shinde and Swapnil Shinde and is based in Palo Alto, California, United States.","Artificial Intelligence, Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",3.0,Early Stage Venture,2021-08-04,34000000.0,Series B,47500000.0,Private,,,0.0,6.0,,5,523,False
494,Contra,2019-01-01,http://contra.com,"San Francisco, California, United States","Communities, Freelance, Information Technology, Internet, Professional Networking",11-50,"4,308","Contra is a networking platform that gives users the freedom and opportunity to work independently. It provides flexible work opportunities from people through an exclusive community and referral network by showcasing work portfolios that enable freelancers and other independent professionals to earn a living on their own terms. The San Francisco, California-based company was established in 2019 by Ben Huffman and Gajus Kuizinas.","Community and Lifestyle, Information Technology, Internet Services, Professional Services",4.0,Early Stage Venture,2021-11-02,30000000.0,Series B,44500000.0,Private,,,,,,5,524,False
503,K2 Space,2022-01-01,https://www.k2space.com/,"West Hollywood, California, United States","Aerospace, Space Travel",1-10,"4,321","K2 Space focuses on the latest generation of launch vehicles that will open the doors to the solar system. The company was founded by Karan Kunjur and Neel Kunjur in 2022 and is headquartered in West Hollywood, California.","Science and Engineering, Transportation",3.0,Seed,2023-10-17,7000000.0,Seed,15528471.0,Private,,,,,,2,525,False
504,Harvest Thermal,2019-04-25,https://www.harvest-thermal.com,"Berkeley, California, United States","Electronics, Energy Efficiency, Home Improvement",11-50,"4,323","Harvest Thermal develops a control system for home use that integrates heating, hot water, and cooling with thermal storage. Its Harvest Thermal Pod is a cloud-connected IoT device that is machine learning enabled. It aims to provide affordable and low-carbon heating, hot water, and cooling systems that reduce the impact on the planet while providing comfort and safer homes.","Consumer Electronics, Energy, Hardware, Real Estate, Sustainability",10.0,Seed,2023-10-19,4000000.0,Seed,10844738.0,Private,,,,,,5,526,False
505,Alcion,2022-03-01,https://alcion.ai,"Santa Clara, California, United States","Information Technology, Software",11-50,"4,325","Alcion secures data protection from ransomware, malware, accidents, and outages using an AI-driven strategy.","Information Technology, Software",2.0,Early Stage Venture,2023-09-19,21000000.0,Series A,29000000.0,Private,,,0.0,0.0,,2,527,False
506,Brimstone Energy,2019-01-01,http://www.brimstone.energy,"Berkeley, California, United States","Chemical, Energy, Natural Resources",11-50,"4,326","Brimstone developed the first carbon-negative process to make ordinary Portland cement and another key concrete ingredient, supplementary cementitious material. The Brimstone Process uses carbon-free calcium silicate rock instead of limestone to deliver a product that is identical to conventional materials and cost-competitive at scale.","Energy, Natural Resources, Science and Engineering, Sustainability",2.0,Early Stage Venture,2022-03-24,55000000.0,Series A,55000000.0,Private,,,,,,5,528,False
512,Universal Hydrogen,2020-01-01,https://www.hydrogen.aero,"Hawthorne, California, United States","Aerospace, CleanTech, Energy, Infrastructure, Logistics",51-100,"4,340","Universal Hydrogen is dedicated to making hydrogen aviation a near-term reality. The company is building a hydrogen ecosystem for aviation through strategic partnerships and new technologies for hydrogen distribution and propulsion. Universal Hydrogen was founded in 2020 and is based in Hawthorne, CA.","Energy, Other, Science and Engineering, Sustainability, Transportation",3.0,,2022-10-10,,Corporate Round,82500000.0,Private,,,7.0,0.0,Storing Of Distributing Gases Or Liquids,4,529,False
516,MagicSchool AI,2023-01-01,https://www.magicschool.ai/,"Denver, Colorado, United States","Artificial Intelligence, E-Learning, EdTech, Education",1-10,"4,344","MagicSchool uses AI to assist teachers in lesson planning, writing assessments, communicating , and more.","Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",1.0,Seed,2023-08-28,2400000.0,Pre-Seed,2400000.0,Private,,,,,,1,530,False
521,Vartana,2020-01-01,https://www.vartana.com,"San Francisco, California, United States","Finance, Financial Services, Service Industry",11-50,"4,351","Vartana offers payment flexibility, captures signatures, and closes deals faster. Simplify how sales reps close deals with Vartana’s all-in-one financing platform that helps buyers maximize their purchasing power and finance teams stay agile with unlocked cash flow. Vartana was established in 2020 by Kush Kella in San Francisco, California.","Financial Services, Other",4.0,Early Stage Venture,2023-05-31,20000000.0,Series B,89000000.0,Private,,,,,,4,531,False
524,Kumo.AI,2021-01-01,https://kumo.ai,"Mountain View, California, United States","Artificial Intelligence, Big Data, Business Intelligence, Machine Learning, SaaS",11-50,"4,357","Kumo.AI is a SaaS AI platform that allows anyone in an organization to tackle predictive problems in business. It enables all non-technical and technical users, regardless of ML experience, to traverse all the major steps of a best practice ML lifecycle. The platform's users can immediately tackle a wide variety of predictive problems all in a single sitting, in application areas such as new customer acquisition, customer loyalty and retention, personalization and next best action, entity resolution and knowledge graph curation, abuse detection, financial crime detection, generation of ML features for data science teams, and more. Kumo.AI was founded in 2021 and is based in Mountain View, California.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2.0,Early Stage Venture,2022-09-27,18000000.0,Series B,36500000.0,Private,,,0.0,2.0,,3,532,False
529,Untapped Global,2020-01-01,https://untapped-global.com/,"San Francisco, California, United States","Asset Management, Financial Services, FinTech, Impact Investing",11-50,"4,367","On a mission to reshape how profitable investing is done, Untapped Global offers data-driven investment opportunities for global investors to finance high-growth businesses across emerging markets. Our innovative Smart Asset Financing investment model tracks the usage and revenue streams of productive assets in real-time, giving investors on our online platform access to a transparent, safe and profitable solution to investing in emerging markets. Based in San Francisco, Brussels, and across Africa, the Untapped team aims to create shared prosperity by unlocking economic opportunity where it’s needed most. Find out more at untapped-global.com.","Financial Services, Lending and Investments",4.0,Seed,2023-09-20,3000000.0,Seed,13300000.0,Private,,,,,,4,533,False
535,LunarCrush,2018-06-12,https://www.lunarcrush.com,"Costa Mesa, California, United States","Artificial Intelligence, Blockchain, Cryptocurrency, Data Visualization, FinTech, Information Services, Social Media",11-50,"4,378","LunarCrush, proven in the cryptocurrency and financial industries, provides a novel solution for the information-saturated social media landscape, offering a tailored approach to media consumption beyond the control of traditional algorithms. LunarCrush's mission is to foster mindful media and create transparency in the world’s social media discourse.","Artificial Intelligence, Blockchain and Cryptocurrency, Data and Analytics, Design, Financial Services, Information Technology, Internet Services, Media and Entertainment, Other, Payments, Science and Engineering, Software",7.0,Early Stage Venture,2023-07-12,5000000.0,Series A,8620000.0,Private,,,,,,5,534,False
538,Upwind Security,2022-01-01,https://www.upwind.io,"San Francisco, California, United States","Cloud Infrastructure, Cloud Management, Cloud Security, Information Technology, Software",51-100,"4,381","Upwind is the runtime-powered CNAPP that leverages runtime data to secure your cloud infrastructure. Upwind helps you mitigate the risks that actually matter, identify the root causes of threats in minutes, and respond with context and automation. This allows you to protect everything you run in the cloud in one centralized platform, whose capabilities include CSPM, CIEM, CWPP, CDR, API security, vulnerability management, threat detection and response, and severless and container security. In short, Upwind gives you consolidated cloud security using eBPF-based runtime-to-cloud analysis with context from CI/CD events, git/code changes, and audit logs, all in one centralized CNAPP.","Hardware, Information Technology, Internet Services, Privacy and Security, Software",2.0,Early Stage Venture,2023-09-05,50000000.0,Series A,78000000.0,Private,,,,,,2,535,False
542,Grow Credit,2018-11-15,http://www.GrowCredit.com,"Santa Monica, California, United States","Credit, Financial Services",51-100,"4,387","Grow Credit helps consumers with no credit or thin credit files establish or build credit for free using their existing subscription accounts, including Netflix, Disney Plus, Spotify, and many more. Grow is also the first platform to allow consumers to build credit with their cell phone bills. The company was founded in 2018 and is based in Santa Monica, California.","Financial Services, Lending and Investments",4.0,Early Stage Venture,2023-09-28,10000000.0,Series A,118600000.0,Private,,,,,,5,536,False
543,Protect AI,2022-01-01,https://protectai.com,"Seattle, Washington, United States","Artificial Intelligence, Machine Learning, Security, Software",11-50,"4,388",Protect AI is a cybersecurity business that specializes in protecting machine learning and artificial intelligence platforms. You can deliver secure and legally compliant ML models and AI apps by using Protect AI to execute security scans on your ML lifecycle.,"Artificial Intelligence, Data and Analytics, Privacy and Security, Science and Engineering, Software",2.0,Early Stage Venture,2023-07-26,35000000.0,Series A,48500000.0,Private,,,,,,2,537,False
551,QuSecure,2019-02-06,http://www.qusecure.com,"San Mateo, California, United States","Communications Infrastructure, Cyber Security, Enterprise Applications, Quantum Computing, Software",51-100,"4,398","The quantum security problem. Solved. At QuSecure, our pursuit for discovery and advancement never stops. It’s this philosophy that’s enabled us to develop QuProtect™, our state-of-the-art, software-based quantum security solution. Designed to integrate seamlessly with today’s technology, QuProtect gives our clients the protection and assurance they need, so they’re ready for today. And tomorrow. We know the quantum threat is real. We also know it’s preventable. At QuSecure, we’ve created an all-encompassing software-based solution, QuProtect, that enables our clients to focus on their goals, with confidence. QuProtect can be easily adapted to suit unique business requirements and industry-specific challenges. It’s this tailored approach that allows us to pre-empt potential challenges and confidently navigate the quantum threat. Together. At QuSecure, we know that certain industries have unique needs and challenges. When it comes to achieving quantum security, a different approach is sometimes required.","Apps, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",9.0,Early Stage Venture,2022-10-03,9000000.0,Series A,14150000.0,Private,,,2.0,0.0,Electric Communication Technique,5,538,False
557,DoControl,2020-06-01,https://www.docontrol.io/,"New York, New York, United States","Cloud Security, Cyber Security, Information Technology, Productivity Tools, Risk Management, SaaS",11-50,"4,406","DoControl gives organizations the automated, self-service tools they need for SaaS applications data access monitoring, orchestration, and remediation. They take a customer-focused approach to the challenge of labor-intensive security risk management and data exfiltration prevention in popular SaaS applications.  By replacing manual work with automation, DoControl reduces the overload of work and complexity that Security/IT teams have to deal with every day. DoControl involves all employees as part of the security equation to drive business enablement and encourage a collaborative and frictionless security culture.","Information Technology, Privacy and Security, Professional Services, Software",3.0,Early Stage Venture,2022-04-14,30000000.0,Series B,43350000.0,Private,,,1.0,0.0,,3,539,False
560,XL8,2019-01-01,https://XL8.ai,"San Jose, California, United States","Artificial Intelligence, Machine Learning, Software",1-10,"4,415","XL8 is an AI company that offers NLP services, specializing in the media localization area including machine translation and ASR. The company accelerates translations of vast amounts of data and content.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",4.0,Early Stage Venture,2023-09-26,7500000.0,Series A,21194382.0,Private,,,0.0,0.0,,5,540,False
562,ChartHop,2019-09-16,https://www.charthop.com/,"New York, New York, United States","Data Visualization, Human Resources, Productivity Tools, Software",101-250,"4,418","ChartHop is an information technology company that specializes in the fields of software development and management. ChartHop is designed to be used by the whole organization. This helps companies improve organizational health, drive alignment and accountability, and save time and money. It was founded in 2019 and is headquartered in New York, United States.","Administrative Services, Data and Analytics, Design, Information Technology, Software",5.0,Late Stage Venture,2023-01-03,20099981.0,Series C,74099981.0,Private,,,,,,4,541,False
567,Volcon,2020-01-01,https://volcon.com,"Austin, Texas, United States","Autonomous Vehicles, Electric Vehicle",51-100,"4,428","Volcon is an off-road power sports company that offers electric off-road vehicles. Volcon's mission is to build industry-leading products that connect people to outdoor experiences through the intentional blending of leading technology and design. The company was founded in 2020 and is based in Austin, Texas, United States.",Transportation,3.0,IPO,2023-09-15,700000.0,Post-IPO Equity,47900000.0,Public,2021-10-06,62358406.0,,,,4,542,False
568,Harmony Games,2023-01-01,https://harmonygames.co/,"Matthews, North Carolina, United States","Artificial Intelligence, Casual Games, Gaming",1-10,"4,429",Harmony Games is a developer of next-generation hybrid-casual games.,"Artificial Intelligence, Data and Analytics, Gaming, Science and Engineering, Software",1.0,Seed,2023-10-25,3000000.0,Seed,3000000.0,Private,,,,,,1,543,False
569,TO Ventures,2023-10-01,http://toventures.io/,"Dallas, Texas, United States","Angel Investment, Artificial Intelligence, FinTech, Social Entrepreneurship, Venture Capital, Wholesale",1-10,"4,434",,"Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Social Impact, Software",1.0,,2023-10-25,65000.0,Undisclosed,65000.0,Private,,,,,,0,544,False
575,Betterleap,2020-01-01,https://betterleap.com/,"San Francisco, California, United States","Recruiting, Software",1-10,"4,442",Betterleap is an AI-powered sourcing and outreach platform,"Professional Services, Software",4.0,Seed,2023-09-18,13000000.0,Seed,13000000.0,Private,,,,,,4,545,False
579,HumanSignal,2019-01-01,https://humansignal.com/,"San Francisco, California, United States","Artificial Intelligence, Machine Learning, Open Source, Software",11-50,"4,446","HumanSignal enables companies to build AI with their unique DNA. Creators of Label Studio, the most widely-adopted open source data labeling platform, HumanSignal is on a mission to harness the power of foundation models to craft highly differentiated AI models using proprietary data and human feedback.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",1.0,Early Stage Venture,2022-05-18,25000000.0,Series A,25000000.0,Private,,,0.0,0.0,,5,546,False
590,Firstbase,2019-01-01,https://firstbase.com,"Wilmington, Delaware, United States","IT Management, Management Information Systems, Software",51-100,"4,461","Firstbase is a remote work management platform. They make IT and HR teams' jobs by providing employees with the technology, furniture, and equipment they need to conduct remote work. Their management services include onboarding, order, asset, and inventory management.","Information Technology, Software",6.0,Early Stage Venture,2022-03-25,50000000.0,Series B,65100000.0,Private,,,,,,5,547,False
596,Vyzer,2020-11-01,https://vyzer.co/,"New York, New York, United States","Financial Services, Real Estate Investment, Wealth Management",11-50,"4,471",,"Financial Services, Real Estate",1.0,Seed,2023-10-04,6300000.0,Seed,6300000.0,Private,,,,,,3,548,False
597,NUE Life Health,2020-12-11,http://nue.life,"Miami, Florida, United States","Alternative Medicine, Health Care, Personal Health, Wellness",11-50,"4,472","NUE Life aims to improve mental wellness by enhancing brain function, performance, and longevity through evidence-based and scientifically proven mental health treatments and products. NUE Life has created a therapeutic ecosystem of ketamine therapy, an interactive companion app, and virtual aftercare programs to help people heal.",Health Care,6.0,M&A,2023-06-15,1900000.0,Venture - Series Unknown,28200000.0,Private,,,0.0,0.0,,3,549,False
600,Digma,2022-01-01,https://digma.ai/,"Sunnyvale, California, United States","Developer Tools, Software",1-10,"4,478","Digma is an observability platform that provides developers with the data they need to own their code all the way to production. The company was founded in 2022 and is headquartered in Sunnyvale, California.",Software,2.0,Seed,2023-09-26,6000000.0,Seed,12509958.0,Private,,,,,,2,550,False
614,Daybreak Health,2019-01-01,https://www.daybreakhealth.com,"San Francisco, California, United States","Health Care, Mobile Apps, Personal Health, Therapeutics",11-50,"4,505","The Daybreak Health startup uses a mobile app to connect teens to teen-specialized therapists. Daybreak Health specializes in providing online counseling services, especially for teens, helping to stabilize their mental fitness. The company was founded in 2019 and is headquartered in San Francisco, California, United States.","Apps, Health Care, Mobile, Software",5.0,Early Stage Venture,2023-08-08,13000000.0,Series B,24925000.0,Private,,,,,,5,551,False
617,Cal.com,2021-01-01,https://cal.com/,"San Francisco, California, United States",Software,11-50,"4,509",Self-hosted or hosted by us. White-label by design. API-driven and ready to be deployed on your own domain. You are in control of your events and data.,Software,2.0,Early Stage Venture,2022-04-15,25000000.0,Series A,32400000.0,Private,,,0.0,34.0,,3,552,False
619,DynamoFL,2021-01-01,https://www.dynamofl.com,"San Francisco, California, United States","Blockchain, Cryptocurrency, Information Technology",11-50,"4,514",DynamoFL is an enterprise AI platform that provides state-of-the-art and regulatory-compliant AI for a fraction of the cost. It simplifies model training across privacy-critical datasets using Federated Learning and Differential Privacy.,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software",3.0,Early Stage Venture,2023-08-16,15100000.0,Series A,19250000.0,Private,,,,,,3,553,False
620,Treasury4,2020-01-01,https://www.treasury4.com/,"Spokane, Washington, United States","Analytics, Finance, Financial Services, FinTech, Information Technology",11-50,"4,515",Treasury4 offers data analytics services for the finance and treasury industry. The company is dedicated to delivering high-value solutions that fundamentally improve treasury and finance processes for corporates worldwide.,"Data and Analytics, Financial Services, Information Technology",1.0,Early Stage Venture,2023-09-12,20000000.0,Series A,20000000.0,Private,,,0.0,1.0,,4,554,False
624,Wellvana,2019-01-01,https://wellvana.com/,"Nashville, Tennessee, United States","Health Care, IT Infrastructure, Medical",101-250,"4,525","Through our high-touch approach to full-risk capitation aka value-based care, wellvana is moving beyond fee-for-service and helping connect the healthy outcomes of patients directly to healthier profitability for providers and health systems. Providers in our curated network keep their independence, reduce their administrative headaches, and spend more time with patients. Patients, in turn, get an elevated experience with coordinated care that is nothing short of life-changing.  Founded in 2019, Wellvana currently serves independent physicians, specialists and health systems in 23 states, managing lives across multiple payors and continuing to expand its footprint in new communities.  Since 2021, Wellvana has experienced significant growth, raising more than $140 million in capital, and deepening its commitment to assuming downside risk for more than 1,000 partner physicians. Today Wellvana serves physicians and hospital systems across Medicare, Medicare Advantage, and commercial payor partnerships.","Health Care, Information Technology",2.0,Early Stage Venture,2023-03-10,84000000.0,Series B,88500000.0,Private,,,0.0,1.0,,5,555,False
625,Builder.io,2019-09-01,https://www.builder.io,"San Francisco, California, United States","Developer Tools, Software, Web Design",51-100,"4,526",Builder is the first and only headless CMS with full visual drag and drop editing.,"Design, Software",2.0,Early Stage Venture,2021-10-18,14000000.0,Series A,17250000.0,Private,,,0.0,1.0,,4,556,False
630,Atomic AI,2021-05-01,https://atomic.ai/,"South San Francisco, California, United States",Medical,11-50,"4,539",Atomic AI is a developing the cutting-edge fusion of machine learning and structural biology to unlock RNA drug discovery.,Health Care,2.0,Early Stage Venture,2023-01-25,35000000.0,Series A,42000000.0,Private,,,,,,3,557,False
633,Socket,2020-01-01,https://socket.dev,"Stanford, California, United States","Cloud Security, Cyber Security, Developer Tools, Internet, Open Source, Security, Software",11-50,"4,544","Socket is a new security company that can protect your most critical apps from supply chain attacks. We are taking an entirely new approach to one of the hardest problems in security in a stagnant part of the industry that has historically been obsessed with just reporting on known vulnerabilities. Socket is built by a team of open source maintainers with over 1 billion monthly downloads. Everyone on the Socket team is an open source maintainer. We are all driven to defend the open source ecosystem from supply chain attacks and make it safe for everyone. Socket is unique because, unlike other tools, it detects and blocks supply chain attacks before they strike, mitigating the worst consequences.","Information Technology, Internet Services, Privacy and Security, Software",2.0,Early Stage Venture,2023-08-01,20000000.0,Series A,24600000.0,Private,,,,,,4,558,False
634,Allocate,2021-01-01,https://www.allocate.co/,"Menlo Park, California, United States",Financial Services,11-50,"4,545",Allocate is platform that enables investors to discover and invest in high-quality venture funds.,Financial Services,3.0,,2023-09-21,10000000.0,Venture - Series Unknown,30300000.0,Private,,,0.0,1.0,,3,559,False
636,Prizeout,2019-01-01,https://www.prizeout.com/,"New York, New York, United States","Advertising Platforms, FinTech, Marketing",11-50,"4,551","Prizeout is a performance-based ad-tech company that connects customers withdrawing money with brands looking to capture their spend. Used by companies like HomeAdvisor, Paddy Power Betfair, Jackpocket, and Coinbase, we give customers a better withdrawal experience by offering faster access to their funds, at a higher value. The company was founded in 2019 by David Metz and is headquartered in New York City.","Advertising, Financial Services, Sales and Marketing",6.0,,2023-03-09,,Corporate Round,37500000.0,Private,,,2.0,6.0,Computing; Calculating,5,560,False
637,A.Team,2020-01-01,https://a.team,"New York, New York, United States","Collaboration, Information Technology, Productivity Tools, Professional Networking, Software",101-250,"4,552",A.Team is a professional network for A-Talent to connect and form full-stack teams. It is powered by an invite-only professional network of top independent product builders. Its aim is to help companies keep up and thrive during today’s digital disruptions. A.Team was designed to help companies adapt agilely and build tech in areas outside of their core competencies—to pivot their product and adapt new methods of monetization.,"Community and Lifestyle, Information Technology, Other, Professional Services, Software",2.0,Early Stage Venture,2022-05-17,55000000.0,Series A,60000000.0,Private,,,,,,4,561,False
638,Baseten,2019-01-01,https://www.baseten.co/,"San Francisco, California, United States","Artificial Intelligence, Developer Tools, Machine Learning, Software, Software Engineering",1-10,"4,553","Baseten is a serverless backend that offers a fast way to build machine-learning-powered applications with auto-scaling, GPU access, CRON jobs, and serverless functions. Data science and machine learning teams can use Baseten to build applications without prior knowledge of backend, frontend, or MLOps, allowing for faster, smarter decision-making at their organizations. Baseten is on a mission to make machine learning available to all organizations.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",3.0,Early Stage Venture,2022-04-26,12000000.0,Series A,20000000.0,Private,,,,,,5,562,False
641,Talkiatry,2019-01-01,http://www.talkiatry.com,"New York, New York, United States","Health Care, Medical, mHealth, Wellness",501-1000,"4,557","Talkiatry is a national mental health practice that provides in-network psychiatry and therapy. A patient and a triple-board-certified psychiatrist co-founded the company to solve the problems both groups face in accessing and delivering the highest quality mental healthcare.    60% of adults in the U.S. with a diagnosable mental illness go untreated every year because care is inaccessible, while 45% of clinicians are out of network with insurers because reimbursement rates are low and paperwork is unduly burdensome.    With innovative technology and a human-centered philosophy, it provides patients with the care they need—and allows psychiatrists to focus on why they got into medicine.","Health Care, Mobile",3.0,Early Stage Venture,2022-07-01,75000000.0,Series B,112000000.0,Private,,,,,,5,563,False
642,Coast,2020-01-01,https://coastpay.com,"New York, New York, United States","Credit Cards, Financial Services, Payments",11-50,"4,558","The coast is the modern financial services platform that provides solutions for managing fleet’s expenses, and a smart Visa fleet and fuel card.","Financial Services, Lending and Investments, Payments",2.0,Early Stage Venture,2022-02-17,27500000.0,Series A,33500000.0,Private,,,1.0,0.0,Computing; Calculating,4,564,False
649,Greater Good Health,2021-01-01,https://www.greatergoodhealth.com,"Los Angeles, California, United States","Health Care, Hospital, Medical, Wellness",51-100,"4,579","Greater Good Health is a healthcare organization enabling and expanding access to value-based, holistic primary care. Through an innovative Nurse Practitioner-led model, Greater Good Health partners with health plans to build primary care practices in underserved, often rural, communities, and partners with risk-bearing organizations to deploy private-labeled clinical programs that enable the shift to value-based, outcomes-focused care. Greater Good Health's proven care model and clinical programs benefit patients, providers, and payers alike, improving outcomes, reducing costs, and delivering a best-in-class patient experience.",Health Care,3.0,Early Stage Venture,2023-10-10,20000000.0,Series A,33000000.0,Private,,,,,,3,565,False
654,Common Room,2020-01-01,https://www.commonroom.io/,"Seattle, Washington, United States","Communities, Contact Management, CRM, Social CRM, Social Media",11-50,"4,587","Building and managing communities is specialized time-consuming work. Success depends not only on technical acumen, interpersonal skills, and content development it also depends on knowing where to invest time and effort for maximum impact. The dynamic and networked nature of communities makes it difficult to understand what is happening in your community and gaining this context can be time-consuming if not impossible to obtain. Common Room provides unified intelligence across your entire community to provide real-time insight to inform action. With Common Room’s automated reporting and engagement capabilities teams can engage their community at the right time with the right message without the manual work saving time to focus on high-impact projects. As the market continues to shift towards community-led acquisition, the role of community professionals is evolving in terms of business impact and value. Common Room allows teams to quantify their contribution to the business in the form of metrics and outcomes that matter to executives in order to drive cross-organizational understanding and support. Build, manage and measure your community with Common Room and scale your impact for your users and your business.","Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",3.0,Early Stage Venture,2021-04-01,32300000.0,Series B,52900000.0,Private,,,0.0,2.0,,4,566,False
