,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
15591,Undahealth,2021-01-01,https://www.mygenomd.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Medical, mHealth, Personal Health, Telehealth, Wellness",114669.0,Mygenomd is a wellness center. They develop a telehealth platform to deliver personalized healthcare solutions addressing the pandemic of chronic diseases across the country.,1-10,3.0,Seed,2022-09-01,150000.0,Pre-Seed,150000.0,2.0,1-10,Private,,,,,,0,3,2021,14922
15612,BreezeML,2022-05-21,https://www.breezeml.ai/,"Irvine, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Software","Information Technology, Machine Learning, Software",114828.0,We offer a range of products that build on a common infrastructure backbone to help different customers to quickly productize their ML tools and make effective use of their cloud resources.,1-10,2.0,Seed,2022-11-05,4000000.0,Seed,4010000.0,4.0,1-10,Private,,,,,,0,1,2022,14939
15616,Pogbet,2019-01-15,https://www.pogbet.gg,"Berkeley, California, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","3D Technology, Artificial Intelligence (AI), Web3",114849.0,Pogbet is an e-sports streaming platform. They provide AI tools that help internet publishers better engage and monetize their livestream audiences. They offer communities enticing new ways to contribute monetarily to the success of their favourite streams.,1-10,3.0,Seed,2020-03-01,0.0,Seed,500000.0,3.0,1-10,Private,,,,,,1,5,2019,14943
15637,Wool & Water,2020-11-08,http://www.woolandwater.co,"Chicago, Illinois, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, E-Commerce, E-Commerce Platforms, Metaverse, Retail, Software, Virtual Reality, Web Development, Web3",115011.0,"""Wool & Water is a smart retail tech company that harnesses the power of Web3, Metaverse, and AI in the $1.03T online and $6.1T physical retail markets. Their multi-award-winning technology delivers a seamless and intuitive shopping experience proven to increase conversion, sales and order size while reducing return rates. With a focus on delivering immediate ROI to clients, the company is led by a team of experienced digital transformation experts and is dedicated to solving real-world shopper needs through innovation.""",1-10,1.0,Seed,2021-01-05,140000.0,Pre-Seed,140000.0,3.0,1-10,Private,,,,,,0,3,2020,14963
15638,Replika,2020-10-01,https://replika.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Software, Wellness",115013.0,"Replika is an AI chatbot that talks to you like a friend. It is a digital companion that helps you feel more connected to the people and things you love. Replika is here to support you, listen to you, and learn from you. It is a safe space for you to share your thoughts, feelings, and experiences.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,3,2020,14964
15642,Cohexa,2022-01-01,https://cohexa.us,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Software",115046.0,,1-10,1.0,Seed,2022-10-10,20000.0,Pre-Seed,20000.0,3.0,1-10,Private,,,,,,0,2,2022,14967
15643,Govava,2021-10-08,https://www.govava.com,"West New York, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),115048.0,"Gifts are a symbol of happiness and celebration. The act demonstrates our feelings and meaningful gesture towards someone that we value. Whether you are buying a gift because of love, respect or admiration, it binds us beyond words.  Govava has changed the way people shop for gifts. The software is the ""Google"" of gift buying. The patented technology using artificial intelligence is one of a kind. We are a dedicated company that understands your passion for Finding The Perfect Gift.",1-10,1.0,Seed,2021-11-24,250000.0,Pre-Seed,250000.0,1.0,1-10,Private,,,,,,0,2,2021,14968
15646,Our.Love,2021-01-01,https://www.our.love,"Fairfax, Virginia, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Software","Apps, Information Technology, Machine Learning, Natural Language Processing, Personal Health, Software, Wellness",115057.0,"ABOUT OUR LOVE COMPANY Our.Love’s vision is to become the world’s most innovative and inspiring platform for better, more loving relationships. By delivering a fun, gamified experience that is based upon sound relational science, cutting edge machine learning, emotion detection and natural language understanding, our team and our app will earnestly, gently and effectively empower millions of couples to love and more better.",11-50,2.0,Seed,2021-10-03,450000.0,Pre-Seed,775000.0,2.0,11-50,Private,,,0.0,0.0,,0,3,2021,14971
15648,Airoi,2019-01-01,https://www.airoi.com,"Santa Clara, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Professional Services, Science and Engineering, Software","Advice, Artificial Intelligence (AI), Consulting, Real Time",115072.0,"Airoi provides business process outsourcing for companies. They specializes in providing actionable insights, data, and reports for the healthcare and pharma, smart cities, agriculture, and asset management sectors. Their services include an AI insights overview such as periodic reports, AI-driven research, real-time analytics, proprietary indices, advisory consulting, AI data exchange, and market overview.",1-10,1.0,Seed,2023-01-01,35000.0,Seed,35000.0,,1-10,Private,,,,,,0,5,2019,14973
15660,"Edtera, Inc.",2018-05-18,https://www.edtera.com,"San Diego, California, United States","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence (AI), EdTech, Education, Primary Education, Secondary Education",115189.0,"Edtera is an EdTech company based in San Diego, CA. Our technology drives student engagement through peer-to-peer learning and enabled with AI",11-50,1.0,Seed,2022-01-27,250000.0,Pre-Seed,250000.0,,11-50,Private,,,,,,0,5,2018,14985
15668,GigWrks,2020-07-23,https://www.gigwrks.com,"Fort Lauderdale, Florida, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Hardware, Media and Entertainment, Other, Professional Services, Sales and Marketing, Science and Engineering, Software, Travel and Tourism, Video","Apps, Artificial Intelligence (AI), B2B, B2C, Electronic Design Automation (EDA), Employment, Film Production, Hospitality, Marketing, Restaurants",115241.0,"Our mission is to help our clients maximize their time and resources while earning and saving significantly more cash by offering a virtually seamless, secure solution with smarter artificial intelligence. This app is targeting 70 million gig workers in the US alone, and we're trying to hit that market.",11-50,1.0,Seed,2020-09-18,530000.0,Pre-Seed,530000.0,1.0,11-50,Private,,,,,,0,3,2020,14992
15677,White Rabbit Intel,2019-01-01,https://www.whiterabbitintel.com/,"Chapel Hill, North Carolina, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Sales, Software",115367.0,,11-50,1.0,Seed,2021-06-01,250000.0,Pre-Seed,250000.0,,11-50,Private,,,,,,0,5,2019,15001
15680,Redflag AI,2018-04-02,http://redflagai.co,"Berkeley, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Digital Entertainment, Machine Learning, SaaS, Software",115380.0,"Redflag AI is a company focused on developing the potential of Machine Learning. Our products connect campaigns, businesses, and individuals with the audiences that matter most to them, without the noise.  Redflag's software is capable of analyzing the full scope of video, audio, image, and text based conversations across the internet and mass media in order to reveal the full context of public reaction and site content. Utilizing proprietary state-of-the-art Sentiment Analysis, Topic Analysis, Intention Modeling, Image/Video Detection, and unique bot filtering techniques, we provide a suite of solutions that serve diverse and critical needs in an unprecedented fashion.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2018,15004
15695,Flair AI,2022-11-01,https://flair.ai,"New York, New York, United States","Advertising, Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), Beauty, Brand Marketing, Content, Machine Learning, Marketing, Retail, Software",115521.0,"Flair AI is a design platform that digitizes product photoshoots from end-to-end. Any scene you'd like to create in a physical photoshoot, you can build virtually on Flair with AI.",1-10,1.0,Seed,2023-05-08,0.0,Seed,0.0,2.0,1-10,Private,,,,,,2,1,2022,15018
15721,Rytr,2021-01-01,https://rytr.me,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),115788.0,"Rytr is a startup that uses artificial intelligence to generate personalized and high-quality text content for its users. We leverage advanced natural language processing models trained on massive amounts of text to automatically produce articles, blog posts, product descriptions, and other text formats on virtually any topic specified by the user. The process begins with the user providing Rytr with a brief natural language description of the desired topic. Our algorithms then search thousands of trusted sources on the web to collect relevant facts, statistics, and insights. Finally, the intelligent software synthesizes all of this information into a cohesive, grammatically correct, and engaging text that is ready to be published. A major advantage of Rytr is its ability to generate text with a style and vocabulary similar to that written by humans. This makes the content more natural and enjoyable to read. Additionally, the system can produce completely original content on virtually any topic in a matter of seconds, saving users a significant amount of time. Here are some of the key features of Rytr: Personalized content: Rytr generates text that is tailored to the specific needs and preferences of each user. High quality: The content generated by Rytr is grammatically correct, well-structured, and engaging. Variety of formats: Rytr can generate text in a variety of formats, including articles, blog posts, product descriptions, and more. Time-saving: Rytr can produce content in a matter of seconds, freeing up users to focus on other tasks. If you are looking for a powerful and easy-to-use AI text generator, Rytr is the perfect solution for you. Try Rytr today and see how it can help you create high-quality content quickly and easily.",1-10,0.0,M&A,,0.0,,0.0,1.0,1-10,Private,,,,,,5,3,2021,15044
15727,Zillions Inc.,2020-04-01,https://zillions.ai/,"Henderson, Nevada, United States","Artificial Intelligence (AI), Data and Analytics, Gaming, Hardware, Science and Engineering, Software, Travel and Tourism","Artificial Intelligence (AI), Casino, Computer Vision, Gaming, Machine Learning",115846.0,"Zillions.ai converts real-world visual information into electronic form for the multi-billion-dollar gaming industry. It is the world's first and only system to produce house advantage in real-time. The all-in-one fully automated AI system identifies chips, cards, banknotes, and players simultaneously for gaming operations to increase earnings and reduce losses.",11-50,2.0,Seed,2021-07-01,100000.0,Seed,350000.0,1.0,11-50,Private,,,0.0,0.0,,0,3,2020,15049
15755,Cybever,2022-06-09,https://cybever.ai,"Mountain View, California, United States","Artificial Intelligence (AI), Data and Analytics, Gaming, Hardware, Science and Engineering, Software","3D Technology, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Developer APIs, Developer Tools, Machine Learning, Software, Video Games",116130.0,"Cybever stands as a leader in 3D innovation, with a Silicon Valley-based team driving the transformation of game development. Specializing in converting artistic visions into stylized 3D models, we streamline the creation process, allowing artists to focus on creative expression rather than the technicalities of 3D modeling. Our approach, blending advanced technology with traditional techniques, enables rapid prototyping and a diverse range of model generation, fostering enhanced collaboration. This method not only propels creative freedom but also offers cost-effective solutions, significantly reducing development expenses. Cybever is dedicated to redefining the realms of game development and 3D creativity, inviting you to join us in shaping the future of immersive gaming experiences.",11-50,2.0,Early Stage Venture,2023-07-17,0.0,Series A,0.0,3.0,11-50,Private,,,0.0,0.0,,2,1,2022,15073
15765,4impactdata,2020-01-01,https://www.4impactdata.com/,"Dallas, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Services, Information Technology",116213.0,"4impactdata has created the “first ever knowledge as a service” business guidance system for business owners.  It has codified the wisdom, lessons learned, and best practices of successful business leaders, peers, & professionals into the latest Analytics-AI cloud technologies.  The mission of 4impactdata is to change the odds for business owners so they have a greater chance to survive and thrive.",1-10,1.0,Seed,2022-09-01,850000.0,Pre-Seed,850000.0,3.0,1-10,Private,,,0.0,1.0,,0,4,2020,15082
15773,Kodezi,2021-11-04,https://kodezi.com/,"Orlando, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), EdTech, Education, Enterprise Software, Information Technology, Machine Learning, Natural Language Processing",116304.0,Kodezi is an AI-assisted development tool that automatically corrects code. It's Grammarly for programmers. We’re on a mission to 10x productivity in programming and code debugging! Backed by RTP Global and Watertower Ventures.,11-50,2.0,Seed,2022-05-23,1050000.0,Pre-Seed,1070000.0,2.0,11-50,Private,,,,,,0,2,2021,15090
15787,Divorce AI,2018-10-18,https://www.divorceai.com,"Detroit, Michigan, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), FinTech, Legal Tech",116457.0,"Divorce AI is divorce financial reporting - a new category of intelligent tools that combine divorce and wealth management. Powered by Artificial Intelligence, expert knowledge, and comprehensive reporting technology, Divorce AI is built by people who care about families going through a divorce. Divorce AI enables you to find what's important, understand why it's important, and put that information to use in the most powerful way possible. In short, we turn your future divorce into an easy-to-read report. The average divorce costs a whopping $20,000. That number can quickly grow if you are not properly prepared for a divorce. That is why every divorce starts here. We estimate all of your post-divorce expenses and incomes, asset separation options, future budget, net worth, and more. We are trying to save you time and money by better preparing you for a divorce. Divorce AI helps you understand the financial implications of your divorce and estimates your post-divorce financials, so you can better execute and negotiate the terms of your divorce. We'll admit it. We are not pretending to be your lawyer. Instead, we are empowering you with valuable information so you can take back control when hiring a lawyer. The value Divorce AI offers is an ability to quickly research, calculate and estimate future divorce outcomes without paying large lawyer fees. Guess what? You can even download all of your Divorce AI reports and show them to your friends, future lawyers, or save them for later use. Divorce AI's technology allows for extremely affordable prices compared to other options. All you have to do is sign-up, answer a few short questions, and sit back while we do the rest. We will provide you with an easy-to-read Divorce AI report.",1-10,1.0,Seed,2019-05-01,65000.0,Seed,65000.0,2.0,1-10,Private,,,,,,0,5,2018,15102
15789,Sea Warden,2020-01-01,https://seawarden.io/,"San Pedro, California, United States","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Professional Services, Science and Engineering, Software","AgTech, Aquaculture, Artificial Intelligence (AI), Management Consulting, Seafood",116480.0,"Sea Warden creates remote monitoring technology for the continuous monitoring of marine aquaculture operations. The company's technology enables the farmed seafood industry to reduce the cost and difficulty of certifying farmed seafood by providing region monitoring, farm site monitoring, a summary of regional production activity, and weekly insights for key farms of interest.",1-10,1.0,Seed,2020-08-19,75000.0,Pre-Seed,75000.0,1.0,1-10,Private,,,,,,0,4,2020,15104
15793,Nephra,2021-05-01,https://nephra.ai,"Champaign, Illinois, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning",116577.0,Nephra leverages state-of-the-art technology like machine learning and artificial intelligence to develop real-time electrolyte monitoring tools for dialysis patients. We seek to support a transition towards personalized care for dialysis patients and to combat the many complications that can arise from infrequent monitoring.,1-10,1.0,Seed,2021-05-01,70000.0,Pre-Seed,70000.0,3.0,1-10,Private,,,,,,0,2,2021,15108
15830,Zyphra,2020-01-01,https://zyphra.com,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Hardware, Machine Learning, Software",116866.0,,1-10,2.0,Seed,2023-01-01,0.0,Seed,0.0,1.0,1-10,Private,,,,,,2,4,2020,15137
15839,Keydabra,2019-01-01,http://www.keydabra.com,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), SaaS, Software",116961.0,"Keydabra provides a digital intelligence platform that aims to boost website engagement and conversions. Keydabra Digital provides a new way to improve users' digital footprint. Its AI tools quantify experiences and transform millions of data points into insightful and actionable solutions. It is the most effective method for understanding customer experience, increasing engagement, and increasing conversion on websites.",1-10,1.0,Seed,2021-05-01,950000.0,Pre-Seed,950000.0,2.0,1-10,Private,,,,,,0,5,2019,15146
15843,Labyrinth Labs,2022-03-01,https://labyrinthlabs.xyz,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","3D Technology, Artificial Intelligence (AI), Augmented Reality, Machine Learning, Virtual Reality",116999.0,"Labyrinth Labs builds tools that enable anyone to leverage AI for illustration, photography, and 2D and 3D assets.",1-10,1.0,Seed,2022-05-01,120000.0,Pre-Seed,120000.0,1.0,1-10,Private,,,,,,0,2,2022,15150
15903,Cortical Ventures,2021-01-01,https://cortical.vc,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, Venture Capital",117583.0,Cortical Ventures is a venture capital investment firm that focuses on investing in AI companies.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,15206
15939,PackageX,2018-08-24,https://packagex.io,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Cloud Infrastructure, Last Mile Transportation, Shipping, Software, Supply Chain Management, Warehousing",117891.0,"PackageX is revolutionizing the logistics industry with the world's first Headless Logistics Cloud. PackageX empowers retail and commercial enterprises to achieve unprecedented success by delivering unparalleled developer experiences, workflow improvements, customer loyalty, and profitability.",11-50,1.0,Seed,2023-06-02,0.0,Seed,0.0,2.0,11-50,Private,,,,,,2,5,2018,15240
15952,TranslateFX,2018-11-01,https://www.translatefx.com,"Burlingame, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Document Management, Legal Tech, Machine Learning, Professional Services, Software, Translation Service",118003.0,"TranslateFX provides instant and accurate translation of legal texts between different languages. The company develops AI software to translate professional texts using accurate and consistent legal terminology and concepts. TranslateFX adheres to strict data confidentiality policies. TranslateFX was founded on 2018 and is headquartered in Burlingame, California.",1-10,1.0,Seed,2019-02-01,500000.0,Pre-Seed,500000.0,1.0,1-10,Private,,,,,,0,5,2018,15250
15980,Visionful,2018-10-01,http://www.visionful.ai/,"San Diego, California, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Real Estate, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Computer, Machine Learning, Parking, Smart Cities, Transportation",118239.0,"Visionful is a technology company that provides intelligent parking and mobility for smart cities. The company applies and combines AI and computer vision to create a smart parking and transportation solution. They offer software and hardware to report real-time parking guidance, fully automate the parking enforcement and generate predictive analytics for large organizations with off-street parking lots. Their vision is to be a leading company to bring intelligence to the existing infrastructure, and to address the gap in communication between autonomous vehicles, human-drivers and city infrastructures. It also automates parking and transportation management for large businesses. The company provides artificial intelligent vision-based solutions for sustainable, affordable, and equitable transportation options throughout cities. Visionful was founded in October 2018 and is headquartered in San Diego, California, USA.",11-50,1.0,M&A,2019-08-06,150000.0,Pre-Seed,150000.0,3.0,11-50,Private,,,,,,0,5,2018,15277
15982,Sperta,2021-06-17,https://www.sperta.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Privacy and Security, Software","FinTech, Fraud Detection, Insurance, Lending, Predictive Analytics, SaaS",118257.0,"Sperta helps financial services and digital commerce automate decisions and manage fraud, credit, and compliance risks. Sperta was founded in June 2021. The co-founders previously built Uber's rules engine, Mastermind and Google Cloud AI Feature Store.",1-10,1.0,Seed,2021-08-04,3000000.0,Seed,3000000.0,2.0,1-10,Private,,,,,,0,2,2021,15279
15999,Westcott Multimedia,2021-12-07,https://www.westcottmultimedia.com,"Santa Monica, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Marketing Automation, Media and Entertainment",118401.0,"Orange is a signals-based automated advertising platform for creative industries. Their vision is to democratize access to promotion for independent artists and the companies that support them. The company was founded in 2017 and is based in Santa Monica, California.",1-10,3.0,Seed,2021-05-01,0.0,Seed,120000.0,1.0,1-10,Private,,,,,,1,2,2021,15296
16003,Chex.ai,2020-01-01,https://www.chex.ai/,"Santa Clara, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),118441.0,Chex.ai is a virtual auto-inspection platform completed through mobile phones.,11-50,1.0,Seed,2022-01-10,120000.0,Pre-Seed,120000.0,,11-50,Private,,,,,,0,4,2020,15300
16007,For Sure Fit,2021-01-01,https://forsurefit.com/,"Lincoln, Nebraska, United States","Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Hardware, Science and Engineering, Software","3D Technology, Apparel, Artificial Intelligence (AI), Fashion",118449.0,"For Sure Fit is a developer of virtual trial software with an AI foundation for fashion e-commerce companies. It provides online clothing merchants with the power to improve consumer engagement, decrease returns, increase conversions, and collect customer data. They provide consumers and retailers with AI technologies.",1-10,2.0,Seed,2022-06-04,100000.0,Pre-Seed,200000.0,,1-10,Private,,,,,,0,3,2021,15304
16014,SAFA,2021-01-01,https://safa.ai/,"South Bend, Indiana, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Enterprise Software, SaaS",118498.0,SAFA was built to reduce the cost and effort associated with evolving and reusing safety cases while maintaining safety.,1-10,1.0,Seed,2022-02-15,20000.0,Pre-Seed,20000.0,1.0,1-10,Private,,,,,,0,3,2021,15310
16016,Datalytics24,2018-10-01,https://www.datalyticx.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, SaaS",118508.0,AI SaaS integration platform to modernize the digital customer experience technology,11-50,2.0,Seed,2019-08-19,100000.0,Pre-Seed,400000.0,1.0,11-50,Private,,,,,,0,5,2018,15312
16019,Charge Robotics,2021-01-01,https://chargerobotics.com/,"Oakland, California, United States","Artificial Intelligence (AI), Data and Analytics, Energy, Hardware, Natural Resources, Real Estate, Science and Engineering, Software, Sustainability","Artificial Intelligence (AI), Construction, Robotics, Solar, Sustainability",118525.0,,1-10,2.0,Seed,2022-05-01,0.0,Seed,0.0,,1-10,Private,,,,,,2,3,2021,15314
16031,CloudShore,2022-01-01,https://www.CloudShore.ai/,"The Woodlands, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),118641.0,"CloudShore is a software platform that helps add intelligence to the automation efforts at an accelerated pace using Artificial Intelligence by applying ready-to-implement Machine Learning algorithms linked with pre-configured SAP actions. CloudShore features Anomaly Detection AI algorithms and pre-configured SAP Actions, which run on an Internet Information Services server (IIS) as APIs that can be called from any RPA engine on the market, mostly connecting with SAP through BAPIs (Business APIs). They detect transactional irregularities using Machine Learning in addition to reading, writing or deleting entries without using SAP's graphical interface.",11-50,1.0,Seed,2021-04-01,1200000.0,Pre-Seed,1200000.0,4.0,11-50,Private,,,,,,0,2,2022,15326
16055,Podcast Inc,2019-05-20,https://podcastinc.ai,"Sarasota, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",118785.0,"Podcast Inc AI offers an advanced AI platform designed to effortlessly manage and amplify your podcast, elevating your productivity to new heights. Let our cutting-edge technology take the reins and empower your podcast to reach its full potential",11-50,1.0,Seed,2023-03-02,100000.0,Pre-Seed,100000.0,1.0,11-50,Private,,,,,,0,4,2019,15347
16078,Pryzm,2022-06-01,https://www.pryzm.io,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software","Aerospace, Artificial Intelligence (AI), Government",118993.0,Field critical technology faster with an AI platform for government contract capture.,1-10,1.0,Seed,2023-01-01,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,1,2022,15369
16080,Vape-Jet,2019-03-01,https://vape-jet.com/,"Tigard, Oregon, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Food and Beverage, Hardware, Health Care, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Cannabis, Computer Vision, Machine Learning, Machinery Manufacturing, Software",118999.0,"Founded in May 2019, Vape-Jet merges a pharmaceutical-grade fluid handling system with advanced machine vision alignment. Software driven design allows for precise tuning on every aspect of operation, and full web capability allows you to control the system via any internet-enabled device. Configuration profiles can be easily created, updated and saved for different product types, allowing for quick and easy batch changes. Three independently controlled heat zones provide stable and precise temperatures, ensuring reliable and accurate fluid dispensing. Individual cartridge fill data reporting with photo verification provides traceability and quality assurance. Machine vision alignment allows fills direct to shipping trays, without the need to transfer into a jig. Our expert team of in-house engineers are available for support via live-chat, phone, and email. As your company and goals evolve, we will adapt with your vision. We create customized support and maintenance packages to align with current initiatives, and future growth. Vape-Jet is cash flow positive and profitable in 2020, approximately a year after inception.",11-50,1.0,Seed,2019-12-01,45000.0,Pre-Seed,45000.0,3.0,11-50,Private,,,,,,0,5,2019,15371
16114,Patron Consumer Intelligence,2020-04-02,http://patrontec.com,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Retail Technology, SaaS, Software",119224.0,"Patron is a SaaS platform for site-selection and on-going retail store performance monitoring. We marry large datasets such as census data, foot-traffic, auto-traffic and social metadata to private data such as sales, inventory, and cashflow.   Keywords: Omnichannel, Commercial Retail, Big Data for SMEs, Geospatial Analytics, Foot Traffic",1-10,1.0,Seed,2020-04-20,250000.0,Pre-Seed,250000.0,2.0,1-10,Private,,,,,,0,3,2020,15404
16117,MDW.io,2018-04-01,https://www.mdw.io,"New York, New York, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Financial Services, Health Care, Other, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cryptocurrency, Health Care, Marketplace",119283.0,"A DECENTRALIZED BLOCKCHAIN PLATFORM  CONNECTING HEALTHCARE FACILITIES,  RADIOLOGISTS AND AI ALGORITHMS",11-50,1.0,Seed,2018-04-01,500000.0,Seed,500000.0,5.0,11-50,Private,,,2.0,0.0,Computing; Calculating,0,5,2018,15407
16194,Oddr,2022-01-01,https://www.oddr.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),119940.0,"Oddr's goal is to develop an AI-enabled invoice product for businesses in the legal, accounting, consulting, and financial services industries.",1-10,1.0,Seed,2022-10-10,2000000.0,Seed,2000000.0,,1-10,Private,,,,,,0,2,2022,15477
16209,TalkitAI,2020-03-01,https://talkit.ai/,"Houston, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Natural Language Processing, SaaS",120064.0,"Building custom voice assistants and integrating on to existing web/mobile applications via a SDK for uses such as but not limited to voice commerce, voice insights, voice banking, voice charting/reporting, and voice search.",1-10,2.0,Seed,2023-10-08,120000.0,Pre-Seed,120000.0,1.0,1-10,Private,,,,,,0,4,2020,15490
16217,Reply Tech,2022-10-01,http://www.replytech.ai,"Miami, Florida, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Information Technology, Internet Services, Software","Application Performance Management, Big Data, Business Intelligence, Data Integration, Data Visualization, E-Commerce Platforms, Machine Learning, Marketplace, Price Comparison",120221.0,,1-10,1.0,Seed,2023-03-01,120000.0,Pre-Seed,120000.0,4.0,1-10,Private,,,,,,0,1,2022,15498
16243,"Trailmapper, Inc.",2020-05-29,https://trailmapper.io/,"Concord, New Hampshire, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Design, Government and Military, Information Technology, Software","Analytics, Apps, Data Mining, Data Visualization, Information Services, Politics, Predictive Analytics, Software",120484.0,"Web application interface allows political organizations access to Trailmapper's rich political data assets and sophisticated analysis used to develop, test, and execute effective political campaign strategies.",11-50,2.0,Seed,2022-12-01,75000.0,Seed,100000.0,1.0,11-50,Private,,,,,,0,3,2020,15519
