,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
13004,Glacier Cannabis,2019-01-01,https://www.glaciercanna.com/,"Ann Arbor, Michigan, United States","Agriculture and Farming, Community and Lifestyle, Food and Beverage, Health Care","Agriculture, Cannabis, Medical",93600.0,"Glacier Cannabis offers premium small-batch craft cannabis for medical and adult use. The company is able to provide a range of rare and award-winning strains, by working alongside geneticists. They are always growing a variety of sativa, indica, and hybrid strains in order to provide something for everyone.",101-250,2.0,Seed,2023-06-26,594894.0,Seed,1144894.0,,101-250,Private,,,,,,0,5,2019,12528,True
1698,Wherobots Inc.,2022-06-13,https://www.wherobots.ai/,"Phoenix, Arizona, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Cloud Data Services, Database, Geospatial, Software",21587.0,Wherobots is a platform that contextualize digital data to make it easily analyzable. It provides a cloud spatial analytics and compute engine that connects enterprise data to the real- world using the spatial context. Contextualizing data brings it down to earth and  makes it easier for customers to easily extract more value from it.,11-50,1.0,Seed,2023-06-13,5500000.0,Seed,5500000.0,2.0,11-50,Private,,,,,,0,1,2022,1668,True
9966,Rescripted,2020-01-01,http://rescripted.com,"Denver, Colorado, United States","Community and Lifestyle, Health Care","Fertility, Health Care, Women's",70935.0,"From your first period to your last period, Rescripted is the #1 global media platform for fertility, reaching over 9M people monthly and providing content, tools, and resources for wherever you are in your reproductive lifecycle. At Rescripted, we believe that Sex Ed is broken, which is why we’re dedicated to rescripting the conversation about everything we should have learned about our bodies, telling truths in the reproductive, hormonal and sexual health and wellness categories. As the data-driven ecosystem of the future for women’s health, we’re educating and empowering a new generation of community-forward women who know that that fertility health means whole health, and vice versa. We’re rescripting fertility, together.",11-50,2.0,Seed,2021-06-30,1650000.0,Seed,1770000.0,3.0,11-50,Private,,,0.0,1.0,,0,4,2020,9660,True
14963,Otologic Technologies,2019-01-01,https://otologictech.com/,"Madison, Wisconsin, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical",109615.0,"Otologic Technologies AI tools help clinicians more accurately diagnose ear ailments - a huge problem given the current data indicates that up to 70% of the 250M US appointments are misdiagnosed. Our technology provides clinicians with a single coherent image and an AI-informed diagnostic analysis of the eardrum. Otologic Technologies was founded in 2019 and is headquartered in Madison, Wisconsin.",1-10,4.0,Seed,2023-05-12,0.0,Seed,705000.0,5.0,1-10,Private,,,0.0,0.0,,1,5,2019,14346,True
10448,Dreamfield,2020-09-24,http://dreamfield.co,"Orlando, Florida, United States","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Sports","Ad Targeting, Affiliate Marketing, Creative Agency, Digital Marketing, Marketing, Software, Sports",74430.0,"Dreamfield is a deal-making platform that connects athletes with brands. Athletes can make money off their Name, Image, and Likeness (NIL) rights by scheduling appearances in person or virtually, signing autographs, and other events through Dreamfield. Athletes monetize their success and hard work by using Dreamfield to build their personal brands and capitalize on their fame and fan bases. The company offers a safe and secure way to exchange goods, reserve reservations, and introduce fresh concepts that specifically represent athletes.",11-50,1.0,,2021-07-01,1050000.0,Convertible Note,1050000.0,5.0,11-50,Private,,,0.0,2.0,,1,3,2020,10121,True
6981,Ceritas,2022-06-15,http://ceritas.ai,"Cambridge, Massachusetts, United States","Information Technology, Privacy and Security",Cyber Security,51212.0,Ceritas is a Hardware Bill of Materials (HBOM) vulnerability analysis and remediation platform for critical infrastructure.,11-50,1.0,Seed,2022-06-25,5000000.0,Seed,5000000.0,2.0,11-50,Private,,,,,,0,1,2022,6811,True
3688,Chatwoot,2020-12-01,https://www.chatwoot.com,"Dover, Delaware, United States","Information Technology, Other, Professional Services, Sales and Marketing, Software","CRM, Customer Service, Marketing, Open Source, SaaS, Software",32087.0,"Chatwoot is an open-source, self-hosted customer engagement suite. Chatwoot lets you view and manage your customer data, communicate with them irrespective of which medium they use, and re-engage them based on their profile.",1-10,2.0,Seed,2021-09-09,1600000.0,Seed,1600000.0,3.0,1-10,Private,,,,,,0,3,2020,3619,True
11511,ConnectedFresh,2019-01-01,https://connectedfresh.com/,"New York, New York, United States","Food and Beverage, Hardware, Internet Services","Food and Beverage, Internet of Things, Sensor",82253.0,"ConnectedFresh provides food safety temperature monitoring using IoT. Its solutions cover temperature logging, energy consumption, leak detection, kitchen air quality, in-transit temperature, warehouse temperature worker safety, bathroom cleanliness, and wine storage. The company also provides custom IoT solutions for clients using a variety of sensors to identify issues before they become problems and help businesses save time and resources.",1-10,1.0,Seed,2023-06-07,120000.0,Pre-Seed,120000.0,2.0,1-10,Private,,,,,,0,5,2019,11118,True
14714,EmployPlan,2019-01-01,https://employplan.com,"Panama City Beach, Florida, United States","Administrative Services, Other, Professional Services, Software","Consulting, Human Resources, Professional Services, SaaS, Software",107339.0,"Workforce Talent Planning made simple. Plan your talent across projects. Allocate, distribute, assess your talents to deliver an outstanding result. Centralized skill database Get your company talent visualized by skills and identify where to focus and set the top priorities. Whether staffing for complex projects or your physical stores, EmployPlan is fully configurable to match any industry. Planning talent assignment Whether you are fulfilling your goals by assigning your employees, externals, or a mix, EmployPlan gives you the insights if a project needs support so you can take the right actions. Collaborate online with your colleagues to get the best outcomes. Automatically updated clear insights on how your teams are growing with the skills they are using. Our advanced gamification framework, developed with experts, allows your company to constantly track your growth areas.",1-10,3.0,Seed,2024-02-16,600000.0,Seed,830000.0,1.0,1-10,Private,,,,,,0,5,2019,14112,True
9755,MyFloraDNA,2020-01-01,https://myfloradna.com/,"Woodland, California, United States","Agriculture and Farming, Biotechnology, Science and Engineering","Agriculture, AgTech, Biotechnology",69431.0,"MyFloraDNA is an operator of a DNA plant laboratory that offers services for breeders and it also helps breeders to use genetic data in real-time to identify important information about their seeds. The company discovers practical insights by using the latest advancements in biotechnology, genomics, and knowledge engineering to revolutionize agriculture. The company was founded in 2020 and is headquartered in Woodland, California.",11-50,1.0,Seed,2022-07-14,1000000.0,Pre-Seed,1000000.0,,11-50,Private,,,0.0,2.0,,0,4,2020,9459,True
7679,Muncho,2021-08-01,https://www.muncho.com,"Philadelphia, Pennsylvania, United States","Food and Beverage, Hardware, Science and Engineering, Software, Transportation","Food and Beverage, Food Delivery, Hardware, Robotics, Transportation",55539.0,Muncho is building the future of food delivery by cooking food en-route to customers and delivering it in minutes via human-operated delivery vans equipped with autonomous hardware. We’re starting with pizza.,1-10,1.0,Seed,2021-11-01,500000.0,Pre-Seed,500000.0,1.0,1-10,Private,,,,,,0,2,2021,7479,True
18497,Upmarket,2019-01-01,http://upmarket.io,"San Francisco, California, United States","Information Technology, Internet Services, Messaging and Telecommunications, Other","Information Technology, Messaging, Small and Medium Businesses",141116.0,,1-10,1.0,Seed,2022-12-16,20000.0,Pre-Seed,20000.0,2.0,1-10,Private,,,,,,0,5,2019,17555,True
5289,Grapefruit Health,2022-01-01,https://www.grapefruit.health/,"Chicago, Illinois, United States","Education, Health Care","Health Care, Medical, Training",40907.0,"Grapefruit Health utilizes a clinical student workforce to perform interactions with patients remotely. It addresses the massive workforce shortage in healthcare by creating a net-positive, semi-clinical workforce composed of clinical students to perform interactions with patients remotely.  The company was founded in 2022 and is based in Chicago, Illinois.",11-50,6.0,Seed,2023-04-01,1300000.0,Pre-Seed,1345038.0,1.0,11-50,Private,,,0.0,1.0,,0,2,2022,5178,True
2333,Blip,2020-01-01,https://www.tryblip.com,"New York, New York, United States","Apps, Financial Services, Payments, Software","Apps, Payments, Software",24994.0,"Blip is a developer of a bill payment platform intended for fintech companies. Their platform offers bill payment API and white label front end experience, providing community financial institutions with proactive ways for customers to lower their bills, manage cash flow, and find new services.",1-10,1.0,Seed,2023-02-07,2100000.0,Seed,2100000.0,2.0,1-10,Private,,,0.0,0.0,,0,4,2020,2286,True
5714,PowWater,2019-03-01,https://powwater.com/,"Jackson, Wyoming, United States","Apps, Commerce and Shopping, Software, Transportation","Consumer Applications, E-Commerce, Enterprise Software, Marketplace, Water Transportation",43442.0,Powwater is a mobile marketplace for safe water.,11-50,4.0,Seed,2022-11-04,2114993.0,Seed,3259993.0,4.0,11-50,Private,,,,,,0,5,2019,5592,True
3092,Atlas Magnetics,2021-06-01,https://www.atlasmagnetics.com,"Reno, Nevada, United States","Consumer Electronics, Hardware, Other, Professional Services, Science and Engineering","Customer Service, Electronics, Semiconductor",28921.0,"Atlas Magnetics is an electronic component company providing magnetics for power, analog, and RF. Their customers contact them through phone and online applications.",51-100,2.0,Early Stage Venture,2023-01-10,26000000.0,Series B,48800000.0,1.0,51-100,Private,,,0.0,0.0,Basic Electric Elements,0,2,2021,3036,True
8588,Alexis,2019-02-20,https://alexisnetworks.com,"Holmdel, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Machine Learning, Software",61287.0,"Alexis Networks, Inc. is a B2B subscription based software product company - maker of the World's First One Click Anomaly Detection Solution using proprietary AI and ML technologies. Alexis Networks has pioneered Anomaly Detection by finding Fraud, Omissions and Errors in streaming data from operational data sources for companies at every scale.  Alexis Networks Anomaly Detection Solution is adding 5% annual revenue to customer's coffers and showing ROI in less than 4 weeks. Where other solutions are taking months and expensive labor investments, Alexis Networks solution is 80% more economical than the competitors.  Alexis Networks is also a Technology Partner of AWS and is helping customers of Alexis Networks save on AWS just with no obligation pilots of Alexis Networks Anomaly Detection solution. Alexis Networks on Youtube: https://youtu.be/rtihzeWSIVg  Alexis Networks on Web: https://alexisnetworks.com",1-10,1.0,Seed,2020-10-12,2000000.0,Seed,2000000.0,,1-10,Private,,,0.0,0.0,,0,5,2019,8349,True
3797,Preamble,2020-01-01,https://www.preamble.com/,"Pittsburgh, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",32725.0,"Preamble provides a comprehensive platform for AI safety and security, enabling organizations to deploy ethical, secure, and policy-compliant AI guardrails. Our platform also includes an AI policy marketplace and red-team tools for continuous safety improvements.",1-10,1.0,Seed,2021-06-10,4000000.0,Seed,4000000.0,4.0,1-10,Private,,,,,,0,4,2020,3725,True
6332,Fieldhouse,2022-07-27,https://www.fieldhouse.app/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Sports","Artificial Intelligence (AI), SaaS, Sports",47175.0,"Fieldhouse is an innovative software platform that provides athletes with unmatched insights to maximize performance and health. How? Our proprietary data centralization and analytics software aggregates an athlete's data from 150+ digital consumer technologies (Whoop, Apple Health, EightSleep, MyFitnessPal) to deliver AI-driven proactive insights based on the Whole Athlete.",1-10,3.0,Seed,2023-11-01,0.0,Pre-Seed,635000.0,3.0,1-10,Private,,,,,,1,1,2022,6186,True
4235,Pebble Health,2021-01-01,https://pebble.health/,"Seattle, Washington, United States","Financial Services, Health Care","Health Care, Insurance, InsurTech",35113.0,Pebble Health provides healthcare access for small and medium businesses through health insurance products.,1-10,2.0,Seed,2022-12-07,12000000.0,Seed,17099971.0,2.0,1-10,Private,,,0.0,0.0,,0,3,2021,4151,True
2131,Cyvatar.ai,2019-07-15,https://cyvatar.ai/,"Irvine, California, United States","Data and Analytics, Information Technology, Privacy and Security, Professional Services, Software","Business Intelligence, Compliance, Cyber Security, Management Consulting, Software",23978.0,"Cyvatar is an automated cybersecurity management platform that enables startups and small businesses to effectively deploy and maintain data security while building trust, gaining transparency, and accelerating business growth. Cybersecurity can seem overwhelming and expensive for small businesses, and many end up deferring it. Cyvatar makes cybersecurity accessible, achievable, and cost-effective for our members by eliminating complex tasks with automation, centralizing their technologies, and reducing their risk, in one simple subscription. We believe businesses of every shape and size deserve access to world-class security, and we’re always ready to deliver it. Learn more and get started with effortless cybersecurity at cyvatar.ai.",11-50,2.0,Early Stage Venture,2021-06-11,9000000.0,Series A,12000000.0,2.0,11-50,Private,,,0.0,4.0,,0,4,2019,2089,True
3226,Arize AI,2020-01-01,https://arize.com,"Berkeley, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",29555.0,"Arize AI offers a machine learning observability platform that monitors models and provides analytics to troubleshoot production AI. The company was founded in 2020 and is based in Berkeley, California.",51-100,3.0,Early Stage Venture,2022-09-07,38000000.0,Series B,61024999.0,2.0,51-100,Private,,,,,,0,4,2020,3167,True
6653,Faze Medicines,2020-01-01,https://www.fazemed.com,"Cambridge, Massachusetts, United States","Biotechnology, Science and Engineering","Biotechnology, Chemical",49197.0,Faze Medicines is a biotechnology company that uses a variety of screening and proteomics techniques to define condensate interaction networks.,11-50,1.0,Early Stage Venture,2020-12-10,81000000.0,Series A,81000000.0,4.0,11-50,Private,,,0.0,1.0,,0,4,2020,6496,True
1361,LAND Moto,2021-01-01,https://landmoto.io/,"Cleveland, Ohio, United States","Manufacturing, Transportation","Automotive, Electric Vehicle, Manufacturing",19736.0,"LAND Moto is a manufacturing company that focuses on electric bikes. The company was founded in 2021 and is headquartered in Cleveland, Ohio, United States.",1-10,3.0,,2024-01-16,3000000.0,Venture - Series Unknown,7158461.0,1.0,1-10,Private,,,5.0,1.0,,1,3,2021,1334,True
3656,Memberstack,2019-03-27,https://www.memberstack.com,"Williamsburg, Virginia, United States","Apps, Financial Services, Payments, Software","Developer APIs, Payments, Software, Web Apps",31886.0,"Memberstack is a SaaS product that enables Webflow developers to quickly add secure user accounts and payments. It allows businesses to launch custom software more quickly, reduce complexity, and save a lot of money without sacrificing design or functionality. The company was founded in 2018 and is headquartered in Williamsburg, Virginia.",1-10,1.0,Seed,2020-10-13,2000000.0,Seed,2000000.0,2.0,1-10,Private,,,,,,0,4,2019,3587,True
2069,UptimeAI,2019-01-01,https://www.uptimeai.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Industrial, Machine Learning, Software",23610.0,UptimeAI is an artificial intelligence-based predictive maintenance software provider for companies in heavy industries.,11-50,4.0,Seed,2022-12-15,3500000.0,Seed,5006792.0,2.0,11-50,Private,,,,,,0,5,2019,2029,True
11314,Ayana Therapy,2018-08-18,https://www.ayanatherapy.com/,"Los Angeles, California, United States","Community and Lifestyle, Health Care, Other","Communities, Health Care, LGBT, Mental Health, Personal Health, Telehealth, Therapeutics, Wellness",80944.0,"AYANA is a telehealth platform that offers access to mental therapy to marginalized communities by enabling virtual communication with licensed therapists through a smart matchmaking algorithm based on their cultural experiences and identity traits.  Our aim is to address the severe lack of access to mental health services by people of color & LGBTQ+ communities in an effort to combat the high cost, stigma, and the poor cultural competency by the health care industry.",1-10,3.0,Seed,2021-06-16,0.0,Non-equity Assistance,120000.0,1.0,1-10,Private,,,,,,1,5,2018,10930,True
4096,Care.ai,2018-09-26,https://care.ai,"Orlando, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Medical Device, Real Time, Software",34319.0,"Care.ai is an AI-powered ambient monitoring platform that delivers real-time behavior data for clinical and operational insights. The company constantly monitors clinical and operational workflows and learns from them to predict, prevent and protect in real-time, optimizing the patient and provider experience and ultimately powering more human care.  Powered by AI-enabled edge sensors, the platform surfaces real-time inferences and insights to alert and report on activities that help healthcare organizations improve quality, safety, and compliance while optimizing the clinical workforce. Care.ai was founded in 2018 and is based in Orlando, Florida.",51-100,1.0,,2022-11-21,27000000.0,Venture - Series Unknown,27000000.0,1.0,51-100,Private,,,,,,1,5,2018,4016,True
3760,Inspire Veterinary Partners,2020-01-01,https://www.inspirevet.com/,"Virginia Beach, Virginia, United States","Community and Lifestyle, Education, Health Care","Corporate Training, Pet, Training, Veterinary",32548.0,"Inspire Veterinary Partners is a network of veterinary practices offering regular, personalized coaching, and mentorship for team members. The company was founded in 2020 and is headquartered in Virginia Beach, Virginia.",11-50,3.0,IPO,2024-01-12,600000.0,Post-IPO Equity,2041670.0,2.0,11-50,Public,2023-08-30,6400000.0,,,,0,4,2020,3689,True
8207,Wizest,2019-01-01,https://www.wizest.com/,"Ohio, Illinois, United States","Financial Services, Information Technology","Finance, Financial Services, FinTech, Information Services",58808.0,"Wizest is a trading platform for investments that democratizes stock market access so that everyone can invest like the 1%. By simply copying their portfolios, users can form a team of financial experts to invest on their behalf. Optimize with performance leaderboards, select Experts who relate to them and share their values, and then learn why they trade in their news feed.",1-10,2.0,Seed,2021-11-01,1700000.0,Pre-Seed,1700000.0,4.0,1-10,Private,,,,,,0,5,2019,7982,True
2844,Birdstop,2018-10-01,https://www.birdstop.io,"Concord, California, United States","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Drones, Sensor",27507.0,"Birdstop develops a robust infrastructure for the comprehensive inspection and monitoring of field assets on a significant scale. Utilizing networked UAVs and ground stations, users can access real-time data on their assets via the Internet.",1-10,3.0,,2023-08-08,2300000.0,Venture - Series Unknown,2300000.0,2.0,1-10,Private,,,2.0,0.0,Signalling,1,5,2018,2789,True
3006,Oerth Bio,2019-01-01,http://oerthbio.com/,"New Haven, Connecticut, United States","Biotechnology, Science and Engineering",Biotechnology,28400.0,"Oerth Bio is a developer of targeted protein degraders for agricultural applications. The company leverages Arvinas' novel PROTAC protein degrader technology to develop new human therapeutics for patients with cardiovascular, oncological, and gynecological diseases.",11-50,1.0,,2020-02-27,55000000.0,Corporate Round,55000000.0,1.0,11-50,Private,,,2.0,7.0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,1,5,2019,2951,True
1416,AccurKardia,2019-01-01,https://www.accurkardia.com/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Health Diagnostics, Internet of Things, Medical",20046.0,"AccurKardia is an ECG-led diagnostics software company. We are unlocking the value of the ECG signal towards broad diagnostics coverage and disease management in cardiology and beyond. This holds the key to improving clinical outcomes and saving lives at a planetary scale. AccurKardia's first product, AccurECG is an FDA cleared (Class II SaMD), cloud-based, and device agnostic software for fully automated ECG interpretation and detection for up to 13 arrhythmias. It is intended to assist cardiac monitoring companies in the analysis of ECGs recorded from holters, event recorders and cardiac telemetry devices. It is a B2B SaaS offering accessible via web or API. The Company completed Cohort 3 of Mayo Clinic Platform_Accelerate in July 2023.",11-50,5.0,Seed,2023-06-20,2700000.0,Seed,4270000.0,5.0,11-50,Private,,,,,,0,5,2019,1389,True
3631,dClimate,2020-01-01,http://dclimate.net/,"New York, New York, United States","Commerce and Shopping, Information Technology, Internet Services, Science and Engineering, Sustainability","Environmental Engineering, Information Services, Internet, Marketplace",31717.0,"dClimate is the world's first transparent, decentralized marketplace where climate data, forecasts, and models are standardized, monetized, and distributed. The marketplace connects data publishers directly with data consumers, making climate data more accessible and reliable. When data providers share data and forecasts with the market it is automatically scored for reliability, which helps consumers to shop for information. In exchange, dClimate creates a simple, direct-to-consumer distribution mechanism to monetize their work.",1-10,1.0,Seed,2021-04-08,3500000.0,Seed,3500000.0,4.0,1-10,Private,,,,,,0,4,2020,3563,True
7498,Motion,2019-03-01,https://www.usemotion.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Productivity Tools, Real Time, Software",54260.0,"Motion is an AI time management platform that provides real-time interventions, reminders, and analytics. Motion mark sites as distracting to limit the time on them in the future. The company's tool keeps users from becoming distracted while browsing the web by providing real-time interventions, reminders, and analytics, as well as calendar, tab management, and focus tools.",1-10,2.0,Early Stage Venture,2022-09-19,13000000.0,Series A,13150000.0,3.0,1-10,Private,,,,,,0,5,2019,7306,True
9862,Playfora,2020-09-01,http://playfora.org,"Columbia, South Carolina, United States","Financial Services, Software","FinTech, Software",70225.0,Playfora is redefining e-commerce with a payment application that makes it easy to sell items via limited-entry raffles while also making a positive impact.,1-10,2.0,Seed,2023-09-28,400000.0,Seed,775000.0,,1-10,Private,,,,,,0,3,2020,9562,True
1633,EXO Freight,2021-06-06,https://www.exofreight.com/,"Royal Oak, Michigan, United States",Transportation,"Logistics, Supply Chain Management",21194.0,EXO Freight is a managed transportation marketplace built to serve open deck carriers and shippers.,51-100,2.0,Early Stage Venture,2022-05-19,15000000.0,Series A,15000000.0,,51-100,Private,,,0.0,6.0,,0,2,2021,1603,True
5689,Selligence,2019-11-01,https://www.selligence.com,"New York, New York, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Human Resources, Productivity Tools, Sales, Software",43285.0,"Silligence software collects and organizes information from around the world, providing predictive analytics and market intelligence. They provide organizations with deep insight and actionable information in real-time through autonomous predictive intelligence. The digital landscape is rapidly expanding, flooding organizations with unstructured, disparate data that is difficult to process.",11-50,2.0,Seed,2021-01-05,3000000.0,Seed,4800000.0,1.0,11-50,Private,,,,,,0,4,2019,5567,True
13609,PROXIMA,2022-08-01,https://proximasolves.com,"Niles, Illinois, United States","Financial Services, Software","Insurance, InsurTech, Software",98175.0,"Proxima offers Operations as a Service for the Insurance industry through a unique service model that combines nearshore highly qualified talent for Customer Service, Back-office, and IT staffing; with an innovation hub that creates state-of-the-art Insurtech solutions to dramatically improve our clients' capabilities.",51-100,1.0,Private Equity,2022-08-15,500000.0,Private Equity,500000.0,1.0,51-100,Private,,,,,,0,1,2022,13093,True
9411,Procoto,2020-01-01,https://procoto.com/,"St. Petersburg, Florida, United States",Software,"SaaS, Software",67067.0,"Procoto is a self-service procurement solution for small and mid-sized businesses. Our software is a lower-cost, user-friendly alternative to enterprise procurement platforms.",1-10,3.0,Seed,2022-08-10,750000.0,Pre-Seed,750000.0,2.0,1-10,Private,,,,,,0,4,2020,9138,True
13653,AcousticaBio,2021-01-01,https://www.acoustica.bio/,"Cambridge, Massachusetts, United States",Health Care,Health Care,98544.0,AcousticaBio is a company that has developed a means to reformulate intravenous medications so they can be administered via an injection under the skin.,1-10,3.0,Seed,2022-01-13,0.0,Pre-Seed,150000.0,2.0,1-10,Private,,,,,,1,3,2021,13132,True
8793,DignifiHealth,2020-07-01,https://www.dignifihealth.com/,"Williamson, West Virginia, United States",Health Care,"Health Care, Medical",62776.0,"Purpose-built for healthcare professionals by healthcare professionals, DignifiHealth is partnering with health systems and payors on value-based healthcare, chronic disease management, care gap closure, and more to create exceptional patient and health system results. We are ELEVATING QUALITY with real-world analytics and clinical decision support insights. We are IMPROVING REVENUE with improved Star ratings, quality incentive payments, and payor data communications. We are REDUCING COST with seamless technology integration, workflow automation, and advanced clinical reporting with ease.",11-50,1.0,Seed,2021-04-15,7000000.0,Seed,7000000.0,3.0,11-50,Private,,,0.0,5.0,,0,3,2020,8543,True
8577,Limmi,2022-01-01,https://www.limmi.io,"San Diego, California, United States","Data and Analytics, Health Care, Information Technology, Software","Analytics, Health Care, Information Technology, Software",61211.0,,1-10,1.0,Seed,2023-10-18,862500.0,Seed,862500.0,1.0,1-10,Private,,,,,,0,2,2022,8339,True
5138,Workflow86,2020-09-01,https://www.workflow86.com,"San Francisco, California, United States","Administrative Services, Financial Services, Professional Services, Software","Accounting, Finance, Human Resources, SaaS, Software",40099.0,"All teams develop specific ways of doing things - how they handle pull requests, respond to incidents, handle bugs, hire new employees etc. These processes are important, but they often don't get documented, rely on lots of manual handling, and jump between multiple SaaS tools. Workflow86 is an all-in-one platform for building, automating, and managing your team’s operations playbooks and business processes. It comes with lots of built-in functionality so you can do more with just Workflow86, while still making it super easy to integrate with other tools when needed. You use drag and drop components to build out your process step by step with forms, business logic, document templates and more. It's no-code, so non-technical team members (bizops, HR, admin, legal, risk and compliance) can set up playbooks and processes on their own. Once a playbook/process has been built, you can run them automatically and at scale. Trigger playbooks automatically on a specific event, time, submission.",1-10,3.0,Seed,2022-04-01,3620000.0,Seed,3994104.0,1.0,1-10,Private,,,,,,0,3,2020,5031,True
14132,TechRow,2020-01-01,http://techrow.org/,"Manhattan, New York, United States","Education, Media and Entertainment, Software","Digital Media, E-Learning, EdTech, Education",102529.0,"TechRow's immersive media platform distributes an outstanding library of educational content across it's e-learning, VR and streaming channels. Partnered with some of the most brilliant creators in the sector, the company is paving the silk road for next generation learning into households and school districts around the world.",1-10,2.0,Seed,2023-01-09,0.0,Non-equity Assistance,120000.0,1.0,1-10,Private,,,,,,1,4,2020,13572,True
1393,Seven Starling,2020-01-01,https://www.sevenstarling.com,"New York, New York, United States","Community and Lifestyle, Health Care","Health Care, Mental Health, Wellness, Women's",19912.0,"Seven Starling is a digital clinic uniquely focused on treatment for perinatal mental health conditions like postpartum depression and anxiety. Through a combination of individualized therapy, peer support, and medication, its evidence-based care model is backed by research that shows that 90% of patients will feel better within 3 months.",11-50,3.0,Seed,2023-03-14,0.0,Seed,3470000.0,3.0,11-50,Private,,,,,,1,4,2020,1366,True
11582,Alliance DAO,2020-01-01,https://alliance.xyz,"Chicago, Illinois, United States","Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments","Finance, Venture Capital, Web3",82764.0,Alliance is the leading Web3 accelerator and founder community.,1-10,3.0,Seed,2023-04-13,0.0,Seed,250000.0,3.0,1-10,Private,,,,,,1,4,2020,11188,True
9419,Empower3d,2019-01-01,https://www.becomeempower3d.com,"New York, New York, United States","Community and Lifestyle, Education, Professional Services, Sports","Business Development, Professional Networking, Sports, Training",67111.0,"Empower3d provides the modern athlete with the tools, resources, and network required for business success. It creates workshops and seminars for individual athletes, college athletic programs, professional teams, leagues, unions, and other sports organizations on a variety of business and finance topics. It assists athletes in expanding their network by connecting them with some of the world's most respected and experienced business leaders.",1-10,1.0,Seed,2022-09-28,2600000.0,Seed,2600000.0,,1-10,Private,,,,,,0,5,2019,9146,True
3948,Janover,2019-04-01,https://janover.co,"Boca Raton, Florida, United States","Commerce and Shopping, Financial Services, Other, Real Estate","B2B, Commercial Real Estate, Finance, FinTech, Marketplace",33527.0,A b2b fintech marketplace connecting commercial property borrowers and lenders through a frictionless portal.,11-50,3.0,IPO,2021-11-08,0.0,Corporate Round,1039052.0,1.0,11-50,Public,2023-07-23,,0.0,0.0,,1,4,2019,3872,True
16040,The Skin Consult,2020-01-01,https://www.theskinconsult.com/,"Ridgeland, Mississippi, United States","Commerce and Shopping, Consumer Goods, Professional Services","Beauty, Consulting, Cosmetics, Marketplace",118687.0,The Skin Consult is a SAAS marketplace for the skincare and aesthetic industry. We connect patients to skincare providers to find personalized skincare solutions enabled by AI.,1-10,3.0,Seed,2022-11-21,100000.0,Convertible Note,507500.0,1.0,1-10,Private,,,,,,0,4,2020,15333,True
1966,Kiki,2020-01-01,https://kiki.club,"New City, New York, United States","Commerce and Shopping, Real Estate","Marketplace, Rental Property",23075.0,Kiki is a subletting startup that matches listers with people looking to rent for up to six months.,1-10,1.0,Seed,2023-08-24,6000000.0,Seed,6000000.0,,1-10,Private,,,,,,0,4,2020,1928,True
